A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a01_ref/r_O_4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3274       0.3281      -0.0008
eff overall (pt>0.9)             0.8089       0.8099      -0.0010
eff vxy [0,1)                    0.8417       0.8430      -0.0013
eff vxy [1,5)                    0.7931       0.7719      +0.0212
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8361       0.8307      +0.0054
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9251       0.9256      -0.0005
eff transition 1.1-1.7           0.8816       0.8819      -0.0003
eff endcap >1.7                  0.7440       0.7460      -0.0020
dup rate (pt sums)               0.0562       0.0503      +0.0058
dup rate (pt>0.9)                0.0569       0.0518      +0.0052
dup rate barrel                  0.0281       0.0099      +0.0182
dup rate transition              0.0338       0.0126      +0.0211
dup rate endcap                  0.0797       0.0856      -0.0059
fake rate (pt sums)              0.0539       0.0447      +0.0092
fake rate (pt>0.9)               0.0556       0.0448      +0.0108
fake rate barrel                 0.0674       0.0425      +0.0249
fake rate transition             0.0690       0.0445      +0.0245
fake rate endcap                 0.0451       0.0460      -0.0010
mean nhitOT                       6.471        6.519       -0.048
mean nhitOT barrel                9.894       10.148       -0.254
mean nhitOT transition            9.894       10.015       -0.121
mean nhitOT endcap                3.570        3.562       +0.007
n TC (fr denom)                  615657       608190        +7467
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a01_ref/r_O_4.json
