A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a02_ref/r_BX3D_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3270       0.3281      -0.0012
eff overall (pt>0.9)             0.8078       0.8099      -0.0021
eff vxy [0,1)                    0.8406       0.8430      -0.0024
eff vxy [1,5)                    0.7924       0.7719      +0.0205
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8351       0.8307      +0.0044
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9230       0.9256      -0.0026
eff transition 1.1-1.7           0.8796       0.8819      -0.0023
eff endcap >1.7                  0.7442       0.7460      -0.0018
dup rate (pt sums)               0.0561       0.0503      +0.0058
dup rate (pt>0.9)                0.0569       0.0518      +0.0051
dup rate barrel                  0.0350       0.0099      +0.0251
dup rate transition              0.0252       0.0126      +0.0126
dup rate endcap                  0.0783       0.0856      -0.0072
fake rate (pt sums)              0.0540       0.0447      +0.0093
fake rate (pt>0.9)               0.0556       0.0448      +0.0109
fake rate barrel                 0.0671       0.0425      +0.0247
fake rate transition             0.0694       0.0445      +0.0249
fake rate endcap                 0.0452       0.0460      -0.0008
mean nhitOT                       6.468        6.519       -0.050
mean nhitOT barrel                9.866       10.148       -0.282
mean nhitOT transition            9.943       10.015       -0.072
mean nhitOT endcap                3.568        3.562       +0.005
n TC (fr denom)                  616157       608190        +7967
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a02_ref/r_BX3D.json
