A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a02_ref/r_SANE_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3192       0.3281      -0.0089
eff overall (pt>0.9)             0.7986       0.8099      -0.0113
eff vxy [0,1)                    0.8232       0.8430      -0.0197
eff vxy [1,5)                    0.4857       0.7719      -0.2862
eff vxy [5,10)                   0.8333       0.6543      +0.1790
eff vxy [10,30)                  0.7000       0.6645      +0.0355
eff dxy [0,1)                    0.7966       0.8307      -0.0342
eff dxy [1,5)                    0.6875       0.5541      +0.1334
eff dxy [5,10)                   0.0000       0.2097      -0.2097
eff dxy [10,30)                  0.0000       0.0567      -0.0567
eff barrel |eta|<1.1             0.9231       0.9256      -0.0025
eff transition 1.1-1.7           0.8736       0.8819      -0.0083
eff endcap >1.7                  0.7049       0.7460      -0.0410
dup rate (pt sums)               0.0516       0.0503      +0.0013
dup rate (pt>0.9)                0.0526       0.0518      +0.0008
dup rate barrel                  0.0297       0.0099      +0.0198
dup rate transition              0.0248       0.0126      +0.0122
dup rate endcap                  0.0732       0.0856      -0.0124
fake rate (pt sums)              0.0435       0.0447      -0.0012
fake rate (pt>0.9)               0.0448       0.0448      +0.0001
fake rate barrel                 0.0561       0.0425      +0.0136
fake rate transition             0.0430       0.0445      -0.0015
fake rate endcap                 0.0393       0.0460      -0.0067
mean nhitOT                       6.419        6.519       -0.099
mean nhitOT barrel                9.851       10.148       -0.297
mean nhitOT transition            9.904       10.015       -0.111
mean nhitOT endcap                3.541        3.562       -0.022
n TC (fr denom)                    9487       608190      -598703
n sim (ef denom)                   1228        62555       -61327
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a02_ref/r_SANE.json
