A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a02_ref/r_SMOKE2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3200       0.3281      -0.0081
eff overall (pt>0.9)             0.8009       0.8099      -0.0090
eff vxy [0,1)                    0.8232       0.8430      -0.0197
eff vxy [1,5)                    0.5143       0.7719      -0.2576
eff vxy [5,10)                   0.8333       0.6543      +0.1790
eff vxy [10,30)                  0.7000       0.6645      +0.0355
eff dxy [0,1)                    0.7987       0.8307      -0.0320
eff dxy [1,5)                    0.6875       0.5541      +0.1334
eff dxy [5,10)                   0.0000       0.2097      -0.2097
eff dxy [10,30)                  0.0000       0.0567      -0.0567
eff barrel |eta|<1.1             0.9231       0.9256      -0.0025
eff transition 1.1-1.7           0.8851       0.8819      +0.0032
eff endcap >1.7                  0.7049       0.7460      -0.0410
dup rate (pt sums)               0.0559       0.0503      +0.0056
dup rate (pt>0.9)                0.0580       0.0518      +0.0062
dup rate barrel                  0.0400       0.0099      +0.0301
dup rate transition              0.0346       0.0126      +0.0220
dup rate endcap                  0.0747       0.0856      -0.0109
fake rate (pt sums)              0.0445       0.0447      -0.0003
fake rate (pt>0.9)               0.0460       0.0448      +0.0013
fake rate barrel                 0.0564       0.0425      +0.0139
fake rate transition             0.0428       0.0445      -0.0017
fake rate endcap                 0.0415       0.0460      -0.0046
mean nhitOT                       6.396        6.519       -0.123
mean nhitOT barrel                9.819       10.148       -0.330
mean nhitOT transition            9.855       10.015       -0.160
mean nhitOT endcap                3.528        3.562       -0.034
n TC (fr denom)                    9516       608190      -598674
n sim (ef denom)                   1228        62555       -61327
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a02_ref/r_SMOKE2.json
