# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 68 3 0 0.287826 0.452201 0.000485159 0.000827688 0.00046899 0.0425854 1.13328 -1.89484 5.98942 -30 6 12 36.7109 0.0110204 0.506427 4 1 0 0 1 3 1
1 46 4560 579 11 0 0.0637031 0.760357 0.000969914 0.00139215 7.43003e-05 0.0732826 2.82069 -1.32995 6.50092 -30 6 12 35.9955 0.0221753 0.853288 4 1 0 0 1 2 2
1 46 4560 580 11 0 0.0188477 0.897982 0.00122507 0.00162491 1.85136e-05 0.0801899 0.998962 6.68314 6.68314 -30 6 12 35.9955 0.0221753 0.853288 4 1 0 0 1 1 2
1 46 4560 0 12 0 0.0135851 0.644403 0.000960559 0.00153592 1.24102 -0.080001 3.65906 6.8174 6.8174 -30 6 12 35.9395 0.0327466 0.677751 4 1 0 0 1 1 1
1 46 4560 290 17 0 -0.0716316 0.69071 0.00122492 0.00191721 1.48099 0.1012 3.76694 6.43169 6.43169 0.517898 6 12 35.6418 -0.0774284 0.730442 4 1 0 0 1 2 1
1 46 4560 486 21 0 0.963348 0.67051 0.000470745 0.000232889 0.000377764 -0.00937835 0.270012 3.57281 3.57281 -30 6 12 35.4578 0.980523 0.642983 4 1 0 0 1 1 2
1 46 4560 500 21 0 0.346803 0.566248 0.000516407 0.000742866 0.000310371 0.037141 0.115132 -3.06069 6.27545 -30 6 12 35.4578 0.980523 0.642983 4 1 0 0 1 3 2
1 46 4560 525 25 0 0.0162598 0.856757 0.0013036 0.00174084 12.6563 0.0824293 6.42621 6.32429 6.32429 -30 6 12 35.2674 0.0138453 0.918977 4 1 0 0 1 1 1
1 46 4560 275 31 0 0.159342 0.83642 0.000904739 0.00115822 0.000131047 -0.0590982 1.09236 6.84642 6.84642 -30 6 12 34.9982 0.133659 0.784434 4 1 0 0 1 1 2
1 46 4560 290 31 0 -0.0716316 0.69071 0.00122492 0.00191721 1.48099 0.1012 3.76694 -2.99028 6.43169 0.517898 6 12 34.9982 0.133659 0.784434 4 1 0 0 1 2 2
1 46 4560 496 34 0 0.523698 0.66511 0.000486101 0.000545231 6.12073 0.0255775 5.61588 6.72449 6.72449 5.87246 6 12 34.8849 0.498075 0.720151 4 1 0 0 1 1 1
1 46 4560 503 38 0 -0.0368808 0.780608 0.0012652 0.0018234 0.405752 0.0891441 3.11955 5.90961 5.90961 -30 6 12 34.556 -0.0565717 0.805445 4 1 0 0 1 1 1
1 46 4560 187 42 0 0.59402 0.869842 0.000565013 0.000478774 2.81919 0.0209475 5.10573 6.86684 6.86684 -30 6 12 34.4104 0.602204 0.891339 4 1 0 0 1 1 1
1 46 4560 515 43 0 0.00667262 0.346843 0.000577621 0.00145808 0.000173238 -0.0844409 0.775893 6.3263 6.3263 -30 6 12 34.3842 -0.0106105 0.322187 4 1 0 0 1 1 1
1 46 4560 141 50 0 -0.0857797 1.79163 0.00238922 0.0018181 3.63713 0.0775501 9.24294 -1.73517 -1.11917 1.54989 7 14 33.6891 0.268829 1.88545 3 2 0 0 1 1 2
1 46 4560 901 51 0 0.0297044 1.82759 0.00176656 0.00145975 54.9911 -0.0627806 12.6791 2.38409 2.38409 5.06268 7 14 33.5808 0.0560162 1.84333 3 24 0 0 0 2 25
1 46 4560 960 51 0 0.187549 1.93788 0.00150433 0.00104963 0.00118664 -0.0465697 8.682 1.32402 5.44218 -30 7 14 33.5808 0.0560162 1.84333 3 1 0 0 1 3 25
1 46 4560 1017 54 1 -0.0955826 1.85453 0.00193735 0.0017273 0.00842688 -0.0990621 7.25408 2.64972 2.64972 2.21201 7 14 37.6747 -0.0392136 1.86037 4 6 0 0 0 1 6
1 46 4560 443 57 1 -0.0710434 1.76416 0.00237164 0.00198482 0.000802733 -0.0830129 9.58505 0.30824 0.30824 0.530618 7 14 33.4845 -0.0241 1.81985 3 3 0 0 1 1 4
1 46 4560 1926 57 2 -0.092337 1.80628 0.00207089 0.00185248 8.51447 -0.0934436 9.79271 0.861213 0.861213 5.69078 7 14 33.4845 -0.0241 1.81985 3 1 0 0 1 1 4
1 46 4560 1932 57 0 -0.0562133 1.78737 0.00182559 0.00159242 28.6317 -0.0869851 11.3069 4.51242 4.51242 -30 7 14 33.4845 -0.0241 1.81985 3 2 0 1 0 1 4
1 46 4560 314 61 0 0.213751 0.747226 0.000833109 0.00113054 1.51564 0.0521838 3.82098 6.7223 6.7223 -30 6 12 31.9807 0.19692 0.772096 3 1 0 0 1 2 1
1 46 4560 218 63 0 -0.067402 0.283545 0.000563022 0.00177241 0.0833422 -0.0961353 2.54556 6.40535 6.40535 -30 6 12 31.6558 -0.0787002 0.323773 3 1 0 0 1 1 1
1 46 4560 128 66 0 0.0630861 0.518885 0.000743088 0.00135827 0.000144893 -0.074168 5.30552 -3.95856 6.8682 -30 6 12 31.3351 0.193742 0.465102 3 1 0 0 1 2 1
1 46 4560 129 73 0 -0.0253286 0.101183 0.000317919 0.00163799 0.00303756 -0.0907167 1.92722 6.04356 6.04356 -30 6 12 31.1839 -0.0478791 0.13932 3 1 0 0 1 1 1
1 46 4560 368 76 0 -0.0626604 0.0151784 0.00026731 0.00178372 0.000408389 0.0986835 0.555639 5.45668 5.45668 -30 6 12 31.0808 -0.0764997 0.0263438 3 1 0 0 1 2 1
1 46 4560 355 88 0 -0.0355173 0.260708 0.000484706 0.00153027 0.00276678 -0.0928893 1.34655 6.31729 6.31729 -30 6 12 30.6389 -0.0529929 0.273205 3 1 0 0 1 2 1
1 46 4560 253 95 0 0.10668 0.775232 0.000974957 0.00132008 0.000799191 -0.0645914 4.7883 -0.816896 4.77095 -30 6 12 30.5447 0.0410067 0.827099 3 1 0 0 1 2 1
1 46 4560 319 97 1 0.0948773 0.560235 0.000676835 0.00122898 3.57399 0.0673257 5.30526 1.08346 1.08346 -30 6 12 30.5141 -0.0710701 0.643952 3 1 0 0 1 2 2
1 46 4560 338 97 0 -0.0856246 0.617139 0.00114972 0.0019635 0.496888 0.100512 3.29786 6.10507 6.10507 -30 6 12 30.5141 -0.0710701 0.643952 3 1 0 0 1 1 2
1 46 4560 291 107 0 0.0844534 0.484773 0.000704617 0.00135994 0.218437 0.0680607 2.50774 5.96524 5.96524 -30 6 12 30.3896 0.0631181 0.509969 3 1 0 0 1 1 1
1 46 4560 579 109 0 0.0637031 0.760357 0.000969914 0.00139215 7.43003e-05 0.0732826 2.82069 6.50092 6.50092 -30 6 12 30.3244 0.0744047 0.686042 3 1 0 0 1 2 1
1 46 4560 139 115 0 0.0549666 0.400514 0.000588938 0.00133173 0.000648173 0.0754459 0.569897 -0.872988 6.82631 -30 6 12 30.1444 -0.0568832 0.329347 3 1 0 0 1 2 1
1 46 4560 493 121 0 0.161348 1.61456 0.0015032 0.000938995 11.9474 0.0492201 8.68701 5.96893 5.96893 5.78084 6 12 30.0687 0.148843 1.63289 3 2 0 0 0 1 2
1 46 4560 1962 128 1 0.0804436 2.215 0.00293599 0.00130233 23.3085 -0.0401349 15.3973 -1.33707 -0.570223 -1.07534 6 12 29.9431 0.407282 2.23341 3 36 0 0 0 1 36
1 46 4560 313 131 1 0.411084 0.421876 0.00040138 0.0006006 0.132922 -0.0333382 2.30751 -2.33118 0.915022 4.99449 6 12 29.9346 0.0839961 0.479227 3 1 0 0 1 2 2
1 46 4560 319 131 1 0.0948773 0.560235 0.000676835 0.00122898 3.57399 0.0673257 5.30526 0.304571 1.08346 -30 6 12 29.9346 0.0839961 0.479227 3 1 0 0 1 2 2
1 46 4560 312 133 0 0.879256 1.329 0.000771281 0.000311656 0.000404364 0.0111253 2.72869 4.88594 4.88594 -30 6 12 29.9022 0.888599 1.25132 3 1 0 0 1 2 1
1 46 4560 279 150 0 0.800186 0.396979 0.000213463 0.000250183 0.000378183 0.012921 0.400154 -0.063243 5.17499 -30 6 12 29.7559 0.861835 0.389639 3 1 0 0 1 3 1
1 46 4560 13 152 0 -0.0560008 0.402758 0.000730127 0.00172997 0.938266 -0.0937051 4.46999 6.60068 6.60068 -30 6 12 29.7243 -0.046727 0.464436 3 1 0 0 1 1 1
1 46 4560 334 155 0 -0.0335591 0.0808842 0.000300242 0.00166251 0.000325367 -0.0892375 6.57241 6.64872 6.64872 -30 6 12 29.6815 -0.0263677 0.0538352 3 1 0 0 1 1 2
1 46 4560 368 155 0 -0.0626604 0.0151784 0.00026731 0.00178372 0.000408389 0.0986835 0.555639 -4.51417 5.45668 -30 6 12 29.6815 -0.0263677 0.0538352 3 1 0 0 1 2 2
1 46 4560 5 164 0 0.00869111 0.576541 0.000903602 0.00160131 0.000829928 0.0804198 6.28208 6.07583 6.07583 -30 6 12 29.5525 0.0111437 0.451503 3 1 0 0 1 1 1
