# run lumi evt seed tc cls df00 df01 df02 df03 df04 df05 df06 df07 df08 df09 df10 df11 df12 df13 df14 df15 df16 df17 df18 df19 df20 df21
1 46 4560 486 21 0 0.963348 0.67051 0.000470745 0.000232889 0.000377764 -0.00937835 0.270012 3.57281 3.57281 -30 6 12 35.4578 0.980523 0.642983 4 1 0 0 1 1 1
1 46 4560 141 50 0 -0.0857797 1.79163 0.00238922 0.0018181 3.63713 0.0775501 9.24294 -1.73517 -1.11917 1.54989 7 14 33.6891 0.268829 1.88545 3 2 0 0 1 1 2
1 46 4560 901 51 0 0.0297044 1.82759 0.00176656 0.00145975 54.9911 -0.0627806 12.6791 2.38409 2.38409 5.06268 7 14 33.5808 0.0560162 1.84333 3 24 0 0 0 2 24
1 46 4560 1017 54 1 -0.0955826 1.85453 0.00193735 0.0017273 0.00842688 -0.0990621 7.25408 2.64972 2.64972 2.21201 7 14 37.6747 -0.0392136 1.86037 4 6 0 0 0 1 6
1 46 4560 443 57 1 -0.0710434 1.76416 0.00237164 0.00198482 0.000802733 -0.0830129 9.58505 0.30824 0.30824 0.530618 7 14 33.4845 -0.0241 1.81985 3 3 0 0 1 1 2
1 46 4560 1926 57 2 -0.092337 1.80628 0.00207089 0.00185248 8.51447 -0.0934436 9.79271 0.861213 0.861213 5.69078 7 14 33.4845 -0.0241 1.81985 3 1 0 0 1 1 2
1 46 4560 319 97 1 0.0948773 0.560235 0.000676835 0.00122898 3.57399 0.0673257 5.30526 1.08346 1.08346 -30 6 12 30.5141 -0.0710701 0.643952 3 1 0 0 1 2 1
1 46 4560 1962 128 1 0.0804436 2.215 0.00293599 0.00130233 23.3085 -0.0401349 15.3973 -1.33707 -0.570223 -1.07534 6 12 29.9431 0.407282 2.23341 3 36 0 0 0 1 36
1 46 4560 313 131 1 0.411084 0.421876 0.00040138 0.0006006 0.132922 -0.0333382 2.30751 -2.33118 0.915022 4.99449 6 12 29.9346 0.0839961 0.479227 3 1 0 0 1 2 2
1 46 4560 319 131 1 0.0948773 0.560235 0.000676835 0.00122898 3.57399 0.0673257 5.30526 0.304571 1.08346 -30 6 12 29.9346 0.0839961 0.479227 3 1 0 0 1 2 2
1 46 4560 529 175 1 0.682836 0.15844 0.000276942 0.000421646 0.00289401 0.0175481 1.98729 -1.24726 0.228208 -30 6 12 29.451 0.287467 0.202911 3 1 0 0 1 2 1
1 46 4560 90 180 1 -0.0773944 0.0252908 0.000250461 0.00183526 0.00041147 0.101422 0.465536 -2.83036 -0.71381 2.4739 6 12 29.3764 0.393056 0.00433994 3 1 0 0 1 1 1
1 46 4560 237 209 0 1.08137 0.452631 0.000401483 0.000168024 0.00038207 0.00711505 0.210366 0.498815 3.70938 -30 6 12 28.8559 0.930188 0.440851 3 1 0 0 1 3 2
1 46 4560 238 209 0 0.953926 0.472474 0.000354967 0.000212308 0.000380167 -0.00950328 0.140138 3.44545 3.44545 -30 6 12 28.8559 0.930188 0.440851 3 1 0 0 1 3 2
1 46 4560 23 210 1 0.0931011 1.62197 0.00152511 0.00122515 0.923448 0.0579112 7.1979 -0.810014 -0.324356 3.66487 6 12 29.7174 0.565043 1.56473 3 2 0 0 1 6 2
1 46 4560 99 219 1 0.000953678 1.79773 0.00197016 0.00153901 1.79693e-05 0.0653218 8.59301 2.76689 2.76689 4.03911 6 12 28.7 -0.0336901 1.81408 3 2 0 0 1 1 8
1 46 4560 234 244 1 -0.0688173 0.295729 0.000571368 0.00174948 1.48828 -0.0996097 8.32094 -1.3577 0.889795 1.65494 6 12 29.8967 -0.0335794 0.244862 3 1 0 0 1 2 1
1 46 4560 372 245 1 -0.0888502 0.73004 0.00130156 0.00197562 0.00170377 0.104833 4.74411 -1.38862 -0.109297 2.91006 5 10 27.378 0.031177 0.786332 3 1 0 0 1 1 1
1 46 4560 24 254 1 0.178788 0.0499535 0.000291959 0.00110801 0.00145188 0.0548876 3.78921 -2.72585 -0.137338 5.26613 6 12 27.1522 0.0300827 0.0334056 3 1 0 0 1 1 1
1 46 4560 171 260 2 0.321462 0.786644 0.000703637 0.000875918 0.000545338 0.0415249 1.71416 0.84627 0.84627 2.59907 5 10 27.0108 -0.0135864 0.871773 3 1 0 0 1 2 1
1 46 4560 7 273 0 0.585926 1.4525 0.00071013 0.000401389 64.6646 0.0189484 10.5917 0.196487 3.69265 -30 5 10 26.7662 0.359501 1.51698 3 1 0 0 1 5 3
1 46 4560 23 273 1 0.0931011 1.62197 0.00152511 0.00122515 0.923448 0.0579112 7.1979 -0.913691 -0.324356 3.66487 5 10 26.7662 0.359501 1.51698 3 2 0 0 1 6 3
1 46 4560 777 277 1 0.22962 2.42952 0.00441794 0.00106613 0.000638669 -0.0266615 12.7491 -2.20601 -0.141618 -0.0865542 5 10 26.7361 0.108458 2.39691 3 14 0 0 0 1 53
1 46 4560 4788 277 1 -0.0750097 2.35248 0.00285983 0.00186595 69.6633 -0.083248 31.945 -2.84717 -2.51192 4.60229 5 10 26.7361 0.108458 2.39691 3 36 0 0 0 1 53
1 46 4560 386 280 1 -0.066913 0.641849 0.00115919 0.00193023 0.00119192 -0.0960914 5.65135 -0.79458 -0.491059 3.7829 6 12 26.6418 0.0758535 0.579628 3 2 0 0 0 1 2
1 46 4560 1564 299 1 -0.0431772 2.35516 0.00507769 0.0022736 0.00014672 -0.0536291 16.9396 -1.641 -0.543447 2.14683 5 10 26.4564 0.251046 2.32299 3 8 0 0 0 1 44
1 46 4560 6037 299 1 0.207837 2.34284 0.00258811 0.000974464 10.5739 0.0443018 33.195 3.00989 3.00989 1.51319 5 10 26.4564 0.251046 2.32299 3 11 0 0 0 1 44
1 46 4560 8856 299 1 -0.010285 2.32645 0.00242035 0.00154373 16.0498 0.0953107 40.323 0.0274379 0.236583 -0.582067 5 10 26.4564 0.251046 2.32299 3 12 0 0 0 1 44
1 46 4560 197 312 1 0.0349566 1.69319 0.00176332 0.00115598 42.827 -0.056551 12.622 -2.90813 -1.40535 2.66551 6 12 28.4925 0.223773 1.74757 3 4 0 0 0 1 4
1 46 4560 458 340 1 0.0538375 1.72704 0.00146353 0.00130129 9.64484e-06 -0.0652919 4.23728 1.19284 1.19284 2.81389 5 10 25.9512 0.234253 1.6237 3 1 0 0 1 1 1
1 46 4560 244 346 1 0.0588601 0.677227 0.0008984 0.00135629 0.944716 -0.0720665 3.76353 0.169359 0.169359 5.0242 6 12 29.3895 0.0603689 0.668566 3 1 0 0 1 1 1
1 46 4560 321 347 1 0.302985 0.0058709 0.000262598 0.000873167 0.000385451 0.0426918 1.45668 -2.48054 0.358055 2.72334 6 12 26.4432 0.0480654 0.00970436 3 1 0 0 1 1 1
1 46 4560 402 364 1 -0.0724738 1.56111 0.00161869 0.00170213 0.00159143 0.0761411 1.62264 2.48351 2.48351 4.60287 6 12 29.1292 -0.0677571 1.48107 3 4 0 0 1 2 4
1 46 4560 165 376 0 -0.0227792 0.202159 0.00045032 0.00153836 0.333024 0.087542 8.20414 -1.06163 5.49387 -30 5 10 22.2749 -0.0376976 0.242825 2 1 0 0 1 1 1
1 46 4560 413 382 1 -0.0762964 1.29994 0.00159317 0.00177997 106.697 0.088246 11.5547 -3.02608 0.298573 2.19255 5 10 25.2204 0.377999 1.30633 3 1 0 0 1 1 1
1 46 4560 2886 417 1 -0.0957774 2.04651 0.00233652 0.00179556 0.0158468 0.10494 24.4 0.748038 0.748038 0.721313 5 10 26.1335 0.3995 2.02357 3 1 0 0 1 1 1
