A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a03_ref/r_S10_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3282       0.3281      +0.0001
eff overall (pt>0.9)             0.8108       0.8099      +0.0009
eff vxy [0,1)                    0.8437       0.8430      +0.0008
eff vxy [1,5)                    0.7946       0.7719      +0.0227
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8381       0.8307      +0.0074
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9266       0.9256      +0.0010
eff transition 1.1-1.7           0.8824       0.8819      +0.0005
eff endcap >1.7                  0.7470       0.7460      +0.0010
dup rate (pt sums)               0.0635       0.0503      +0.0132
dup rate (pt>0.9)                0.0641       0.0518      +0.0124
dup rate barrel                  0.0434       0.0099      +0.0336
dup rate transition              0.0346       0.0126      +0.0220
dup rate endcap                  0.0843       0.0856      -0.0012
fake rate (pt sums)              0.0520       0.0447      +0.0073
fake rate (pt>0.9)               0.0534       0.0448      +0.0087
fake rate barrel                 0.0668       0.0425      +0.0243
fake rate transition             0.0660       0.0445      +0.0214
fake rate endcap                 0.0423       0.0460      -0.0037
mean nhitOT                       6.424        6.519       -0.095
mean nhitOT barrel                9.803       10.148       -0.345
mean nhitOT transition            9.885       10.015       -0.130
mean nhitOT endcap                3.530        3.562       -0.032
n TC (fr denom)                  618534       608190       +10344
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a03_ref/r_S10.json
