A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a03_ref/r_SMOKE_ATS_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3172       0.3281      -0.0109
eff overall (pt>0.9)             0.7865       0.8099      -0.0234
eff vxy [0,1)                    0.8202       0.8430      -0.0227
eff vxy [1,5)                    0.7692       0.7719      -0.0027
eff vxy [5,10)                   0.5000       0.6543      -0.1543
eff vxy [10,30)                  0.6667       0.6645      +0.0021
eff dxy [0,1)                    0.8122       0.8307      -0.0185
eff dxy [1,5)                    1.0000       0.5541      +0.4459
eff dxy [5,10)                   0.0000       0.2097      -0.2097
eff dxy [10,30)                  0.0000       0.0567      -0.0567
eff barrel |eta|<1.1             0.9375       0.9256      +0.0119
eff transition 1.1-1.7           0.9143       0.8819      +0.0324
eff endcap >1.7                  0.6377       0.7460      -0.1083
dup rate (pt sums)               0.0703       0.0503      +0.0200
dup rate (pt>0.9)                0.0687       0.0518      +0.0169
dup rate barrel                  0.0703       0.0099      +0.0604
dup rate transition              0.0474       0.0126      +0.0348
dup rate endcap                  0.0739       0.0856      -0.0116
fake rate (pt sums)              0.0355       0.0447      -0.0093
fake rate (pt>0.9)               0.0381       0.0448      -0.0067
fake rate barrel                 0.0469       0.0425      +0.0044
fake rate transition             0.0332       0.0445      -0.0114
fake rate endcap                 0.0349       0.0460      -0.0111
mean nhitOT                       6.293        6.519       -0.226
mean nhitOT barrel                9.727       10.148       -0.421
mean nhitOT transition            9.739       10.015       -0.276
mean nhitOT endcap                3.492        3.562       -0.070
n TC (fr denom)                    3469       608190      -604721
n sim (ef denom)                    536        62555       -62019
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a03_ref/r_SMOKE_ATS.json
