A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a03_ref/r_W977_S15C35_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fin_ref/fin_base977_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3277      -0.0005
eff overall (pt>0.9)             0.8091       0.8099      -0.0007
eff vxy [0,1)                    0.8415       0.8429      -0.0013
eff vxy [1,5)                    0.8013       0.7772      +0.0241
eff vxy [5,10)                   0.7226       0.6442      +0.0784
eff vxy [10,30)                  0.7147       0.6257      +0.0891
eff dxy [0,1)                    0.8353       0.8296      +0.0058
eff dxy [1,5)                    0.5832       0.5104      +0.0728
eff dxy [5,10)                   0.2452       0.2291      +0.0161
eff dxy [10,30)                  0.0315       0.0540      -0.0225
eff barrel |eta|<1.1             0.9232       0.9243      -0.0011
eff transition 1.1-1.7           0.8790       0.8800      -0.0011
eff endcap >1.7                  0.7463       0.7466      -0.0003
dup rate (pt sums)               0.0606       0.0499      +0.0107
dup rate (pt>0.9)                0.0614       0.0514      +0.0100
dup rate barrel                  0.0381       0.0097      +0.0284
dup rate transition              0.0288       0.0131      +0.0158
dup rate endcap                  0.0839       0.0849      -0.0010
fake rate (pt sums)              0.0520       0.0452      +0.0068
fake rate (pt>0.9)               0.0533       0.0454      +0.0079
fake rate barrel                 0.0677       0.0436      +0.0241
fake rate transition             0.0655       0.0454      +0.0201
fake rate endcap                 0.0417       0.0463      -0.0046
mean nhitOT                       6.432        6.519       -0.087
mean nhitOT barrel                9.836       10.150       -0.314
mean nhitOT transition            9.927       10.009       -0.082
mean nhitOT endcap                3.518        3.557       -0.039
n TC (fr denom)                 2027846      1998494       +29352
n sim (ef denom)                 204388       204388           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a03_ref/r_W977_S15C35.json
