A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a03_ref/r_XS20C30_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3273       0.3281      -0.0008
eff overall (pt>0.9)             0.8088       0.8099      -0.0011
eff vxy [0,1)                    0.8417       0.8430      -0.0012
eff vxy [1,5)                    0.7902       0.7719      +0.0183
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8360       0.8307      +0.0053
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9230       0.9256      -0.0026
eff transition 1.1-1.7           0.8801       0.8819      -0.0018
eff endcap >1.7                  0.7465       0.7460      +0.0006
dup rate (pt sums)               0.0600       0.0503      +0.0097
dup rate (pt>0.9)                0.0607       0.0518      +0.0089
dup rate barrel                  0.0350       0.0099      +0.0251
dup rate transition              0.0256       0.0126      +0.0130
dup rate endcap                  0.0851       0.0856      -0.0004
fake rate (pt sums)              0.0510       0.0447      +0.0063
fake rate (pt>0.9)               0.0524       0.0448      +0.0077
fake rate barrel                 0.0671       0.0425      +0.0246
fake rate transition             0.0645       0.0445      +0.0200
fake rate endcap                 0.0408       0.0460      -0.0053
mean nhitOT                       6.433        6.519       -0.086
mean nhitOT barrel                9.866       10.148       -0.282
mean nhitOT transition            9.954       10.015       -0.061
mean nhitOT endcap                3.508        3.562       -0.054
n TC (fr denom)                  615788       608190        +7598
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a03_ref/r_XS20C30.json
