tag                     eff    vxy01      v15     v510    v1030      d15     d510    d1030      dup     fake      nhB      nhT      nhE      nTC
GATE300             0.80992  0.84282  0.79459  0.73356  0.74139  0.61650  0.20161  0.03073  0.06230  0.05551  9.80254  9.87906  3.55956   618793
E_ANOA              0.80833  0.84111  0.79313  0.73356  0.74219  0.61650  0.20161  0.03073  0.07045  0.05751  9.67591  9.86347  3.56921   621083
E_A8                0.80922  0.84206  0.79532  0.73356  0.74219  0.61650  0.20161  0.03073  0.06700  0.05626  9.72775  9.87170  3.56345   620259
H_A625              0.81032  0.84320  0.79459  0.73356  0.73899  0.61427  0.20161  0.03073  0.05989  0.05516  9.84315  9.88365  3.55841   617906
E_A6                0.81032  0.84320  0.79459  0.73356  0.73899  0.61427  0.20161  0.03073  0.05909  0.05508  9.85636  9.88589  3.55888   617584
H_A55               0.81037  0.84325  0.79459  0.73356  0.73739  0.61315  0.20161  0.03073  0.05783  0.05506  9.87865  9.88824  3.55956   616959
E_A5                0.81037  0.84325  0.79459  0.73187  0.73579  0.61204  0.20161  0.03073  0.05696  0.05515  9.89433  9.89183  3.55964   616319
H_A45               0.81014  0.84310  0.79313  0.72513  0.73419  0.60758  0.20161  0.03073  0.05622  0.05538  9.90630  9.89860  3.56196   615617
H_A6X45             0.81076  0.84363  0.79532  0.73356  0.73899  0.61427  0.20161  0.03073  0.06343  0.05496  9.80914  9.83921  3.55438   619427
F_N2                0.81037  0.84329  0.79386  0.73187  0.74139  0.61650  0.20161  0.03073  0.08550  0.06286  9.74395  9.77618  3.60936   631131
F_N2X3              0.80842  0.84130  0.79167  0.73187  0.74139  0.61650  0.20161  0.03073  0.08065  0.06298  9.79946  9.83246  3.61718   628688
F_N2X2              0.80555  0.83825  0.78947  0.73019  0.74139  0.61650  0.20161  0.03073  0.07733  0.06304  9.84434  9.87750  3.62611   626458
F_AT355             0.80930  0.84225  0.79240  0.73524  0.74139  0.61650  0.20161  0.03073  0.06134  0.06113  9.77808  9.85746  3.57761   621995
F_AT35              0.80771  0.84068  0.78947  0.73693  0.74139  0.61650  0.20161  0.03073  0.06015  0.06957  9.73731  9.82346  3.60062   626508
D_AT34              0.80352  0.83630  0.78655  0.74030  0.74139  0.61650  0.20161  0.03073  0.05721  0.09853  9.57944  9.70199  3.66369   641852
F_MRIL              0.80984  0.84272  0.79459  0.73356  0.74059  0.61761  0.20161  0.03073  0.06230  0.05601  9.80775  9.88080  3.56040   619061
E_FS40              0.80970  0.84253  0.79532  0.73524  0.74299  0.61650  0.20161  0.03073  0.08241  0.06300  9.81527  9.89552  3.56550   630104
E_FS60              0.81001  0.84277  0.79678  0.73862  0.74380  0.61761  0.20161  0.03073  0.09505  0.06977  9.81896  9.90104  3.56605   638789
D_CC0               0.81209  0.84520  0.79459  0.73524  0.74139  0.61650  0.20161  0.03073  0.28578  0.06554  9.29537  9.13538  3.84102   711779
D_XC0               0.81333  0.84634  0.79751  0.73356  0.74139  0.61650  0.20161  0.03073  0.16098  0.05436  8.79813  9.03938  3.48511   655972
D_RPS0              0.81182  0.84486  0.79605  0.73356  0.74139  0.61650  0.20161  0.03073  0.07661  0.05536  9.78990  9.83585  3.50504   624438
D_XCT6              0.81222  0.84520  0.79605  0.73356  0.74139  0.61650  0.20161  0.03073  0.10306  0.05443  9.38506  9.47856  3.53005   634467
D_MAX               0.80524  0.83787  0.79971  0.74199  0.74139  0.61650  0.20161  0.03073  0.36942  0.22253  8.28941  7.90721  3.50698   957784
LST(base)           0.80988  0.84296  0.77193  0.65430  0.66453  0.55407  0.20968  0.05674  0.05179  0.04476 10.14804 10.01546  3.56248   608190

tag                    effB     effT     effE     dupB     dupT     dupE     fakB     fakT     fakE
GATE300             0.92660  0.88213  0.74496  0.04344  0.03431  0.08106  0.06680  0.06903  0.04525
E_ANOA              0.92443  0.87882  0.74452  0.06786  0.03633  0.08190  0.06917  0.07402  0.04616
E_A8                0.92557  0.88060  0.74485  0.05773  0.03543  0.08148  0.06818  0.07129  0.04520
H_A625              0.92728  0.88238  0.74518  0.03633  0.03382  0.08072  0.06615  0.06779  0.04530
E_A6                0.92751  0.88213  0.74507  0.03410  0.03357  0.08055  0.06590  0.06759  0.04536
H_A55               0.92773  0.88238  0.74485  0.03080  0.03313  0.08021  0.06551  0.06725  0.04561
E_A5                0.92762  0.88289  0.74474  0.02870  0.03294  0.07985  0.06542  0.06707  0.04587
H_A45               0.92739  0.88289  0.74441  0.02741  0.03249  0.07934  0.06542  0.06738  0.04620
H_A6X45             0.92796  0.88340  0.74518  0.04120  0.04124  0.08243  0.06558  0.06733  0.04534
F_N2                0.92648  0.88315  0.74573  0.06126  0.06559  0.10498  0.07781  0.07949  0.04953
F_N2X3              0.92318  0.88111  0.74496  0.05357  0.05774  0.10252  0.07818  0.07988  0.04949
F_N2X2              0.91943  0.87653  0.74341  0.04825  0.05340  0.10056  0.07845  0.08015  0.04939
F_AT355             0.92648  0.88111  0.74396  0.04288  0.03391  0.07986  0.07580  0.07642  0.04837
F_AT35              0.92512  0.87958  0.74197  0.04201  0.03295  0.07863  0.08910  0.08869  0.05276
D_AT34              0.92204  0.87373  0.73698  0.03963  0.03048  0.07591  0.13606  0.13021  0.06656
F_MRIL              0.92637  0.88213  0.74496  0.04342  0.03435  0.08108  0.06791  0.06982  0.04531
E_FS40              0.92614  0.88187  0.74496  0.08548  0.07800  0.08201  0.08222  0.08283  0.04582
E_FS60              0.92648  0.88289  0.74496  0.11497  0.09875  0.08201  0.09731  0.09326  0.04592
D_CC0               0.92660  0.88951  0.74717  0.29560  0.36710  0.25269  0.08055  0.08098  0.05154
D_XC0               0.93092  0.88646  0.74740  0.22628  0.18464  0.11408  0.06109  0.06492  0.04693
D_RPS0              0.92739  0.88366  0.74828  0.04489  0.03939  0.10485  0.06677  0.06888  0.04516
D_XCT6              0.92978  0.88518  0.74629  0.11494  0.10569  0.09545  0.06423  0.06656  0.04509
D_MAX               0.91123  0.87755  0.75017  0.25929  0.39196  0.43234  0.33845  0.28425  0.12475
LST(base)           0.92557  0.88187  0.74596  0.00989  0.01264  0.08556  0.04249  0.04454  0.04603

