A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_D_CC0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3287       0.3281      +0.0006
eff overall (pt>0.9)             0.8121       0.8099      +0.0022
eff vxy [0,1)                    0.8452       0.8430      +0.0022
eff vxy [1,5)                    0.7946       0.7719      +0.0227
eff vxy [5,10)                   0.7352       0.6543      +0.0809
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8394       0.8307      +0.0087
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9266       0.9256      +0.0010
eff transition 1.1-1.7           0.8895       0.8819      +0.0076
eff endcap >1.7                  0.7472       0.7460      +0.0012
dup rate (pt sums)               0.2725       0.0503      +0.2221
dup rate (pt>0.9)                0.2858       0.0518      +0.2340
dup rate barrel                  0.2956       0.0099      +0.2857
dup rate transition              0.3671       0.0126      +0.3545
dup rate endcap                  0.2527       0.0856      +0.1671
fake rate (pt sums)              0.0630       0.0447      +0.0183
fake rate (pt>0.9)               0.0655       0.0448      +0.0208
fake rate barrel                 0.0806       0.0425      +0.0381
fake rate transition             0.0810       0.0445      +0.0364
fake rate endcap                 0.0515       0.0460      +0.0055
mean nhitOT                       6.432        6.519       -0.086
mean nhitOT barrel                9.295       10.148       -0.853
mean nhitOT transition            9.135       10.015       -0.880
mean nhitOT endcap                3.841        3.562       +0.279
n TC (fr denom)                  711779       608190      +103589
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_D_CC0.json
