A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_E_ANOA_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3281      -0.0009
eff overall (pt>0.9)             0.8083       0.8099      -0.0015
eff vxy [0,1)                    0.8411       0.8430      -0.0019
eff vxy [1,5)                    0.7931       0.7719      +0.0212
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7422       0.6645      +0.0777
eff dxy [0,1)                    0.8357       0.8307      +0.0050
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9244       0.9256      -0.0011
eff transition 1.1-1.7           0.8788       0.8819      -0.0031
eff endcap >1.7                  0.7445       0.7460      -0.0014
dup rate (pt sums)               0.0679       0.0503      +0.0176
dup rate (pt>0.9)                0.0704       0.0518      +0.0187
dup rate barrel                  0.0679       0.0099      +0.0580
dup rate transition              0.0363       0.0126      +0.0237
dup rate endcap                  0.0819       0.0856      -0.0037
fake rate (pt sums)              0.0555       0.0447      +0.0108
fake rate (pt>0.9)               0.0575       0.0448      +0.0128
fake rate barrel                 0.0692       0.0425      +0.0267
fake rate transition             0.0740       0.0445      +0.0295
fake rate endcap                 0.0462       0.0460      +0.0001
mean nhitOT                       6.407        6.519       -0.112
mean nhitOT barrel                9.676       10.148       -0.472
mean nhitOT transition            9.863       10.015       -0.152
mean nhitOT endcap                3.569        3.562       +0.007
n TC (fr denom)                  621083       608190       +12893
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_E_ANOA.json
