A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_F_MRIL_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3278       0.3281      -0.0003
eff overall (pt>0.9)             0.8098       0.8099      -0.0000
eff vxy [0,1)                    0.8427       0.8430      -0.0002
eff vxy [1,5)                    0.7946       0.7719      +0.0227
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7406       0.6645      +0.0761
eff dxy [0,1)                    0.8372       0.8307      +0.0065
eff dxy [1,5)                    0.6176       0.5541      +0.0635
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9264       0.9256      +0.0008
eff transition 1.1-1.7           0.8821       0.8819      +0.0003
eff endcap >1.7                  0.7450       0.7460      -0.0010
dup rate (pt sums)               0.0615       0.0503      +0.0112
dup rate (pt>0.9)                0.0623       0.0518      +0.0105
dup rate barrel                  0.0434       0.0099      +0.0335
dup rate transition              0.0343       0.0126      +0.0217
dup rate endcap                  0.0811       0.0856      -0.0045
fake rate (pt sums)              0.0543       0.0447      +0.0096
fake rate (pt>0.9)               0.0560       0.0448      +0.0113
fake rate barrel                 0.0679       0.0425      +0.0254
fake rate transition             0.0698       0.0445      +0.0253
fake rate endcap                 0.0453       0.0460      -0.0007
mean nhitOT                       6.445        6.519       -0.074
mean nhitOT barrel                9.808       10.148       -0.340
mean nhitOT transition            9.881       10.015       -0.135
mean nhitOT endcap                3.560        3.562       -0.002
n TC (fr denom)                  619061       608190       +10871
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_F_MRIL.json
