A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_F_N2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3280       0.3281      -0.0001
eff overall (pt>0.9)             0.8104       0.8099      +0.0005
eff vxy [0,1)                    0.8433       0.8430      +0.0003
eff vxy [1,5)                    0.7939       0.7719      +0.0219
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8376       0.8307      +0.0069
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9265       0.9256      +0.0009
eff transition 1.1-1.7           0.8831       0.8819      +0.0013
eff endcap >1.7                  0.7457       0.7460      -0.0002
dup rate (pt sums)               0.0830       0.0503      +0.0327
dup rate (pt>0.9)                0.0855       0.0518      +0.0337
dup rate barrel                  0.0613       0.0099      +0.0514
dup rate transition              0.0656       0.0126      +0.0530
dup rate endcap                  0.1050       0.0856      +0.0194
fake rate (pt sums)              0.0604       0.0447      +0.0157
fake rate (pt>0.9)               0.0629       0.0448      +0.0181
fake rate barrel                 0.0778       0.0425      +0.0353
fake rate transition             0.0795       0.0445      +0.0350
fake rate endcap                 0.0495       0.0460      +0.0035
mean nhitOT                       6.446        6.519       -0.073
mean nhitOT barrel                9.744       10.148       -0.404
mean nhitOT transition            9.776       10.015       -0.239
mean nhitOT endcap                3.609        3.562       +0.047
n TC (fr denom)                  631131       608190       +22941
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_F_N2.json
