A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_H_A6X45_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3281       0.3281      +0.0000
eff overall (pt>0.9)             0.8108       0.8099      +0.0009
eff vxy [0,1)                    0.8436       0.8430      +0.0007
eff vxy [1,5)                    0.7953       0.7719      +0.0234
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7390       0.6645      +0.0745
eff dxy [0,1)                    0.8380       0.8307      +0.0072
eff dxy [1,5)                    0.6143       0.5541      +0.0602
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9280       0.9256      +0.0024
eff transition 1.1-1.7           0.8834       0.8819      +0.0015
eff endcap >1.7                  0.7452       0.7460      -0.0008
dup rate (pt sums)               0.0632       0.0503      +0.0129
dup rate (pt>0.9)                0.0634       0.0518      +0.0116
dup rate barrel                  0.0412       0.0099      +0.0313
dup rate transition              0.0412       0.0126      +0.0286
dup rate endcap                  0.0824       0.0856      -0.0031
fake rate (pt sums)              0.0534       0.0447      +0.0087
fake rate (pt>0.9)               0.0550       0.0448      +0.0102
fake rate barrel                 0.0656       0.0425      +0.0231
fake rate transition             0.0673       0.0445      +0.0228
fake rate endcap                 0.0453       0.0460      -0.0007
mean nhitOT                       6.443        6.519       -0.076
mean nhitOT barrel                9.809       10.148       -0.339
mean nhitOT transition            9.839       10.015       -0.176
mean nhitOT endcap                3.554        3.562       -0.008
n TC (fr denom)                  619427       608190       +11237
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_H_A6X45.json
