A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_I_A6T65_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3276       0.3281      -0.0005
eff overall (pt>0.9)             0.8099       0.8099      +0.0000
eff vxy [0,1)                    0.8429       0.8430      -0.0001
eff vxy [1,5)                    0.7909       0.7719      +0.0190
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7390       0.6645      +0.0745
eff dxy [0,1)                    0.8370       0.8307      +0.0063
eff dxy [1,5)                    0.6143       0.5541      +0.0602
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9263       0.9256      +0.0007
eff transition 1.1-1.7           0.8814       0.8819      -0.0005
eff endcap >1.7                  0.7456       0.7460      -0.0003
dup rate (pt sums)               0.0598       0.0503      +0.0095
dup rate (pt>0.9)                0.0601       0.0518      +0.0083
dup rate barrel                  0.0346       0.0099      +0.0247
dup rate transition              0.0342       0.0126      +0.0215
dup rate endcap                  0.0817       0.0856      -0.0038
fake rate (pt sums)              0.0503       0.0447      +0.0056
fake rate (pt>0.9)               0.0514       0.0448      +0.0067
fake rate barrel                 0.0603       0.0425      +0.0178
fake rate transition             0.0626       0.0445      +0.0181
fake rate endcap                 0.0433       0.0460      -0.0028
mean nhitOT                       6.449        6.519       -0.069
mean nhitOT barrel                9.869       10.148       -0.279
mean nhitOT transition            9.901       10.015       -0.114
mean nhitOT endcap                3.544        3.562       -0.018
n TC (fr denom)                  614866       608190        +6676
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a04_ref/r_I_A6T65.json
