A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a05_ref/a_AT3T7_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3267       0.3281      -0.0014
eff overall (pt>0.9)             0.8080       0.8099      -0.0019
eff vxy [0,1)                    0.8409       0.8430      -0.0020
eff vxy [1,5)                    0.7880       0.7719      +0.0161
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8352       0.8307      +0.0045
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9264       0.9256      +0.0008
eff transition 1.1-1.7           0.8732       0.8819      -0.0087
eff endcap >1.7                  0.7442       0.7460      -0.0018
dup rate (pt sums)               0.0612       0.0503      +0.0109
dup rate (pt>0.9)                0.0620       0.0518      +0.0102
dup rate barrel                  0.0434       0.0099      +0.0335
dup rate transition              0.0326       0.0126      +0.0199
dup rate endcap                  0.0810       0.0856      -0.0046
fake rate (pt sums)              0.0509       0.0447      +0.0062
fake rate (pt>0.9)               0.0522       0.0448      +0.0075
fake rate barrel                 0.0668       0.0425      +0.0243
fake rate transition             0.0612       0.0445      +0.0166
fake rate endcap                 0.0415       0.0460      -0.0045
mean nhitOT                       6.445        6.519       -0.073
mean nhitOT barrel                9.803       10.148       -0.345
mean nhitOT transition            9.976       10.015       -0.040
mean nhitOT endcap                3.545        3.562       -0.017
n TC (fr denom)                  614103       608190        +5913
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a05_ref/a_AT3T7.json
