A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a05_ref/a_F30_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3281       0.3281      -0.0000
eff overall (pt>0.9)             0.8106       0.8099      +0.0007
eff vxy [0,1)                    0.8435       0.8430      +0.0005
eff vxy [1,5)                    0.7953       0.7719      +0.0234
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8379       0.8307      +0.0072
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9275       0.9256      +0.0019
eff transition 1.1-1.7           0.8829       0.8819      +0.0010
eff endcap >1.7                  0.7454       0.7460      -0.0006
dup rate (pt sums)               0.0619       0.0503      +0.0116
dup rate (pt>0.9)                0.0627       0.0518      +0.0109
dup rate barrel                  0.0442       0.0099      +0.0343
dup rate transition              0.0343       0.0126      +0.0217
dup rate endcap                  0.0813       0.0856      -0.0042
fake rate (pt sums)              0.0500       0.0447      +0.0053
fake rate (pt>0.9)               0.0509       0.0448      +0.0061
fake rate barrel                 0.0573       0.0425      +0.0148
fake rate transition             0.0633       0.0445      +0.0188
fake rate endcap                 0.0436       0.0460      -0.0024
mean nhitOT                       6.438        6.519       -0.081
mean nhitOT barrel                9.826       10.148       -0.322
mean nhitOT transition            9.899       10.015       -0.117
mean nhitOT endcap                3.553        3.562       -0.010
n TC (fr denom)                  616716       608190        +8526
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a05_ref/a_F30.json
