A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_C_B_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3270       0.3281      -0.0012
eff overall (pt>0.9)             0.8077       0.8099      -0.0022
eff vxy [0,1)                    0.8405       0.8430      -0.0025
eff vxy [1,5)                    0.7880       0.7719      +0.0161
eff vxy [5,10)                   0.7234       0.6543      +0.0691
eff vxy [10,30)                  0.7182       0.6645      +0.0536
eff dxy [0,1)                    0.8340       0.8307      +0.0033
eff dxy [1,5)                    0.5775       0.5541      +0.0234
eff dxy [5,10)                   0.1895       0.2097      -0.0202
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9244       0.9256      -0.0011
eff transition 1.1-1.7           0.8747       0.8819      -0.0071
eff endcap >1.7                  0.7447       0.7460      -0.0012
dup rate (pt sums)               0.0606       0.0503      +0.0103
dup rate (pt>0.9)                0.0613       0.0518      +0.0096
dup rate barrel                  0.0418       0.0099      +0.0319
dup rate transition              0.0327       0.0126      +0.0200
dup rate endcap                  0.0807       0.0856      -0.0049
fake rate (pt sums)              0.0572       0.0447      +0.0125
fake rate (pt>0.9)               0.0588       0.0448      +0.0141
fake rate barrel                 0.0726       0.0425      +0.0301
fake rate transition             0.0768       0.0445      +0.0322
fake rate endcap                 0.0459       0.0460      -0.0001
mean nhitOT                       6.704        6.519       +0.185
mean nhitOT barrel               10.087       10.148       -0.061
mean nhitOT transition           10.531       10.015       +0.516
mean nhitOT endcap                3.695        3.562       +0.132
n TC (fr denom)                  618586       608190       +10396
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_C_B.json
