A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_D_E3F_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3277       0.3281      -0.0004
eff overall (pt>0.9)             0.8097       0.8099      -0.0002
eff vxy [0,1)                    0.8425       0.8430      -0.0004
eff vxy [1,5)                    0.7946       0.7719      +0.0227
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7334       0.6645      +0.0689
eff dxy [0,1)                    0.8367       0.8307      +0.0060
eff dxy [1,5)                    0.6076       0.5541      +0.0535
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9261       0.9256      +0.0006
eff transition 1.1-1.7           0.8816       0.8819      -0.0003
eff endcap >1.7                  0.7450       0.7460      -0.0010
dup rate (pt sums)               0.0614       0.0503      +0.0111
dup rate (pt>0.9)                0.0622       0.0518      +0.0104
dup rate barrel                  0.0431       0.0099      +0.0332
dup rate transition              0.0342       0.0126      +0.0216
dup rate endcap                  0.0811       0.0856      -0.0045
fake rate (pt sums)              0.0543       0.0447      +0.0096
fake rate (pt>0.9)               0.0559       0.0448      +0.0112
fake rate barrel                 0.0678       0.0425      +0.0253
fake rate transition             0.0695       0.0445      +0.0250
fake rate endcap                 0.0453       0.0460      -0.0007
mean nhitOT                       6.454        6.519       -0.065
mean nhitOT barrel                9.863       10.148       -0.285
mean nhitOT transition            9.848       10.015       -0.168
mean nhitOT endcap                3.559        3.562       -0.004
n TC (fr denom)                  618775       608190       +10585
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_D_E3F.json
