A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_G_W75_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3276       0.3281      -0.0005
eff overall (pt>0.9)             0.8093       0.8099      -0.0006
eff vxy [0,1)                    0.8421       0.8430      -0.0009
eff vxy [1,5)                    0.7902       0.7719      +0.0183
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7406       0.6645      +0.0761
eff dxy [0,1)                    0.8364       0.8307      +0.0057
eff dxy [1,5)                    0.6154       0.5541      +0.0613
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9264       0.9256      +0.0008
eff transition 1.1-1.7           0.8793       0.8819      -0.0025
eff endcap >1.7                  0.7447       0.7460      -0.0012
dup rate (pt sums)               0.0613       0.0503      +0.0110
dup rate (pt>0.9)                0.0621       0.0518      +0.0103
dup rate barrel                  0.0433       0.0099      +0.0334
dup rate transition              0.0337       0.0126      +0.0211
dup rate endcap                  0.0809       0.0856      -0.0046
fake rate (pt sums)              0.0545       0.0447      +0.0098
fake rate (pt>0.9)               0.0562       0.0448      +0.0114
fake rate barrel                 0.0673       0.0425      +0.0248
fake rate transition             0.0717       0.0445      +0.0272
fake rate endcap                 0.0454       0.0460      -0.0007
mean nhitOT                       6.563        6.519       +0.044
mean nhitOT barrel                9.883       10.148       -0.265
mean nhitOT transition           10.271       10.015       +0.256
mean nhitOT endcap                3.623        3.562       +0.060
n TC (fr denom)                  618728       608190       +10538
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_G_W75.json
