A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_H_W50U_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3278       0.3281      -0.0003
eff overall (pt>0.9)             0.8097       0.8099      -0.0001
eff vxy [0,1)                    0.8426       0.8430      -0.0003
eff vxy [1,5)                    0.7924       0.7719      +0.0205
eff vxy [5,10)                   0.7352       0.6543      +0.0809
eff vxy [10,30)                  0.7422       0.6645      +0.0777
eff dxy [0,1)                    0.8370       0.8307      +0.0063
eff dxy [1,5)                    0.6176       0.5541      +0.0635
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9266       0.9256      +0.0010
eff transition 1.1-1.7           0.8811       0.8819      -0.0008
eff endcap >1.7                  0.7450       0.7460      -0.0010
dup rate (pt sums)               0.0615       0.0503      +0.0111
dup rate (pt>0.9)                0.0622       0.0518      +0.0104
dup rate barrel                  0.0434       0.0099      +0.0335
dup rate transition              0.0341       0.0126      +0.0214
dup rate endcap                  0.0810       0.0856      -0.0045
fake rate (pt sums)              0.0541       0.0447      +0.0094
fake rate (pt>0.9)               0.0557       0.0448      +0.0109
fake rate barrel                 0.0669       0.0425      +0.0245
fake rate transition             0.0700       0.0445      +0.0254
fake rate endcap                 0.0452       0.0460      -0.0008
mean nhitOT                       6.493        6.519       -0.026
mean nhitOT barrel                9.838       10.148       -0.310
mean nhitOT transition           10.059       10.015       +0.043
mean nhitOT endcap                3.582        3.562       +0.019
n TC (fr denom)                  618770       608190       +10580
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_H_W50U.json
