A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_L_L5_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3279       0.3281      -0.0003
eff overall (pt>0.9)             0.8101       0.8099      +0.0002
eff vxy [0,1)                    0.8429       0.8430      -0.0000
eff vxy [1,5)                    0.7953       0.7719      +0.0234
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7390       0.6645      +0.0745
eff dxy [0,1)                    0.8373       0.8307      +0.0066
eff dxy [1,5)                    0.6154       0.5541      +0.0613
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9267       0.9256      +0.0011
eff transition 1.1-1.7           0.8824       0.8819      +0.0005
eff endcap >1.7                  0.7451       0.7460      -0.0009
dup rate (pt sums)               0.0615       0.0503      +0.0112
dup rate (pt>0.9)                0.0623       0.0518      +0.0105
dup rate barrel                  0.0437       0.0099      +0.0338
dup rate transition              0.0338       0.0126      +0.0211
dup rate endcap                  0.0811       0.0856      -0.0044
fake rate (pt sums)              0.0539       0.0447      +0.0092
fake rate (pt>0.9)               0.0555       0.0448      +0.0107
fake rate barrel                 0.0668       0.0425      +0.0243
fake rate transition             0.0689       0.0445      +0.0244
fake rate endcap                 0.0452       0.0460      -0.0008
mean nhitOT                       6.454        6.519       -0.065
mean nhitOT barrel                9.811       10.148       -0.337
mean nhitOT transition            9.902       10.015       -0.113
mean nhitOT endcap                3.572        3.562       +0.009
n TC (fr denom)                  618782       608190       +10592
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a06_ref/r_L_L5.json
