loaded 977 events from fin_ref/r_W_X4.root
tag                     eff      v01      v15     v510    v1030      d15     d510    d1030    duppt   fakept      dup     fake nhbarrelnhtransition nhendcap      nTC
BASELINE            0.80905  0.84144  0.80110  0.72161  0.71474  0.58320  0.24521  0.03151  0.06094  0.05456  0.06184  0.05607  9.80064  9.88373  3.55719  2033868
PERFECT_pT3         0.80905  0.84144  0.80110  0.72161  0.71474  0.58320  0.24521  0.03151  0.06152  0.04567  0.06249  0.04622  9.85914  9.94025  3.54130  2014916
DROP_pT3_ALL        0.77053  0.80080  0.77697  0.71809  0.71474  0.58320  0.24521  0.03151  0.06336  0.04842  0.06375  0.04857 10.27969 10.16800  3.49352  1900461
DROP_T4_BARREL      0.80892  0.84135  0.79868  0.71457  0.69204  0.53391  0.19374  0.01543  0.06085  0.05106  0.06183  0.05211  9.83994  9.88373  3.55719  2021840
DROP_T4_ALL         0.80659  0.83902  0.79232  0.70452  0.68790  0.52795  0.19374  0.01543  0.05485  0.05051  0.05612  0.05151  9.83994  9.90306  3.48909  2000170
DROP_T4_EXEMPT      0.80852  0.84100  0.79474  0.70804  0.68790  0.52795  0.19374  0.01543  0.05885  0.05030  0.06013  0.05130  9.83977  9.89110  3.52337  2010582
PERFECT_T4          0.80905  0.84144  0.80110  0.72161  0.71474  0.58320  0.24521  0.03151  0.06124  0.04992  0.06218  0.05095  9.82688  9.88723  3.55057  2023933
PERFECT_BARE5       0.80905  0.84144  0.80110  0.72161  0.71474  0.58320  0.24521  0.03151  0.06208  0.03688  0.06305  0.03773  9.78037  9.86113  3.52792  1996529
PERFECT_ZP8_DUP     0.80903  0.84142  0.80110  0.72161  0.71474  0.58320  0.24521  0.03151  0.04414  0.05503  0.04467  0.05658  9.96625  9.98037  3.57300  2016327

tag                    effB     effT     effE     fakB     fakT     fakE   nh_all
BASELINE            0.92454  0.87981  0.74436  0.06754  0.06932  0.04578   6.4424
PERFECT_pT3         0.92454  0.87981  0.74436  0.05318  0.05578  0.03957   6.4471
DROP_pT3_ALL        0.85863  0.84155  0.72863  0.05898  0.05901  0.04034   6.4698
DROP_T4_BARREL      0.92423  0.87981  0.74436  0.05433  0.06932  0.04578   6.4324
DROP_T4_ALL         0.92419  0.87593  0.74026  0.05433  0.06816  0.04497   6.4168
DROP_T4_EXEMPT      0.92426  0.87951  0.74344  0.05433  0.06786  0.04469   6.4250
PERFECT_T4          0.92454  0.87981  0.74436  0.05395  0.06760  0.04436   6.4340
PERFECT_BARE5       0.92454  0.87981  0.74436  0.03497  0.02861  0.04183   6.3652
PERFECT_ZP8_DUP     0.92454  0.87981  0.74432  0.06868  0.07000  0.04598   6.5004

delta vs BASE          d_eff     d_dup    d_fake     d_v15    d_v510   d_v1030     d_d15
PERFECT_pT3         +0.00000  +0.00065  -0.00985  +0.00000  +0.00000  +0.00000  +0.00000
DROP_pT3_ALL        -0.03852  +0.00190  -0.00751  -0.02412  -0.00352  +0.00000  +0.00000
DROP_T4_BARREL      -0.00012  -0.00002  -0.00396  -0.00241  -0.00704  -0.02269  -0.04929
DROP_T4_ALL         -0.00245  -0.00573  -0.00456  -0.00877  -0.01709  -0.02684  -0.05524
DROP_T4_EXEMPT      -0.00053  -0.00171  -0.00478  -0.00636  -0.01357  -0.02684  -0.05524
PERFECT_T4          +0.00000  +0.00034  -0.00512  +0.00000  +0.00000  +0.00000  +0.00000
PERFECT_BARE5       +0.00000  +0.00120  -0.01834  +0.00000  +0.00000  +0.00000  +0.00000
PERFECT_ZP8_DUP     -0.00001  -0.01717  +0.00050  +0.00000  +0.00000  +0.00000  +0.00000
