label                                   eff      dup     fake |    effB    effT    effE |    dupB    dupT    dupE |    fakB    fakT    fakE |     v15    v510   v1030     d15 | nTCincut   kill   kFk%
BASELINE                            0.80992  0.06230  0.05551 | 0.92660 0.88213 0.74496 | 0.04344 0.03431 0.08106 | 0.06680 0.06903 0.04525 | 0.79459 0.73356 0.74139 0.61650 |   480309      0    0.0

label                    d_eff     d_dup    d_fake     d_v01     d_v15    d_v510   d_v1030     d_d01     d_d15
-M4D -1.15            +0.00000  -0.00004  -0.00025  +0.00000  +0.00000  +0.00000  -0.00080  +0.00000  -0.00111
-M4D -1.1             +0.00000  -0.00007  -0.00048  +0.00000  +0.00000  +0.00000  -0.00080  +0.00000  -0.00111
-M4D -1.05            +0.00000  -0.00010  -0.00071  +0.00000  +0.00000  +0.00000  -0.00240  +0.00000  -0.00334
-M4D -1               +0.00000  -0.00016  -0.00087  +0.00000  +0.00000  +0.00000  -0.00320  -0.00004  -0.00334
-C25 0.1 -C25D -2     -0.00009  -0.00002  -0.00019  -0.00010  +0.00000  +0.00000  +0.00000  -0.00009  +0.00000
-C25 0.2 -C25D -2     -0.00013  -0.00005  -0.00033  -0.00014  +0.00000  +0.00000  +0.00000  -0.00013  +0.00000
-C25 0.3 -C25D -2     -0.00018  -0.00007  -0.00047  -0.00019  +0.00000  -0.00169  +0.00000  -0.00021  +0.00000
-C25 0.5 -C25D -2     -0.00027  -0.00014  -0.00075  -0.00029  +0.00000  -0.00169  +0.00000  -0.00030  +0.00000
-MR -1.75             +0.00000  -0.00000  -0.00021  +0.00000  +0.00000  +0.00000  +0.00000  +0.00000  +0.00000
-MR -1.7              +0.00000  -0.00001  -0.00048  +0.00000  +0.00000  +0.00000  +0.00000  -0.00004  -0.00111
-MR -1.65             +0.00000  -0.00000  -0.00072  +0.00000  +0.00000  +0.00000  +0.00000  -0.00004  -0.00111
-MR -1.6              +0.00000  -0.00000  -0.00096  +0.00000  +0.00000  -0.00169  +0.00000  -0.00009  -0.00111
