label                                   eff      dup     fake |    effB    effT    effE |    dupB    dupT    dupE |    fakB    fakT    fakE |     v15    v510   v1030     d15 | nTCincut   kill   kFk%
BASELINE                            0.80992  0.06230  0.05551 | 0.92660 0.88213 0.74496 | 0.04344 0.03431 0.08106 | 0.06680 0.06903 0.04525 | 0.79459 0.73356 0.74139 0.61650 |   480309      0    0.0
------------------------------------------------------------------------------------------------------------------------
-M4 4.5                             0.80895  0.06017  0.05564 | 0.92660 0.87882 0.74396 | 0.04330 0.02945 0.07866 | 0.06681 0.06937 0.04537 | 0.79386 0.73019 0.74139 0.61650 |   478927   1985    1.0
-M4 5                               0.80816  0.05886  0.05573 | 0.92660 0.87805 0.74230 | 0.04330 0.02923 0.07634 | 0.06681 0.06940 0.04549 | 0.79167 0.72850 0.74139 0.61650 |   478110   3006    0.8
-M4 6                               0.80794  0.05825  0.05576 | 0.92660 0.87805 0.74175 | 0.04330 0.02923 0.07523 | 0.06681 0.06940 0.04554 | 0.79167 0.72850 0.74139 0.61650 |   477787   3385    0.7
-M4 8                               0.80794  0.05825  0.05576 | 0.92660 0.87805 0.74175 | 0.04330 0.02923 0.07523 | 0.06681 0.06940 0.04554 | 0.79167 0.72850 0.74139 0.61650 |   477787   3385    0.7
-M4D -1                             0.80992  0.06214  0.05465 | 0.92660 0.88213 0.74496 | 0.04343 0.03428 0.08076 | 0.06433 0.06903 0.04502 | 0.79459 0.73356 0.73819 0.61315 |   479644    900   60.7
-M4D -0.5                           0.80975  0.06180  0.05293 | 0.92660 0.88187 0.74463 | 0.04339 0.03427 0.08010 | 0.05920 0.06903 0.04468 | 0.79167 0.73019 0.73339 0.60758 |   478268   2719   58.8
-M4D 0                              0.80970  0.06151  0.05187 | 0.92660 0.88187 0.74452 | 0.04336 0.03423 0.07956 | 0.05605 0.06903 0.04445 | 0.79167 0.72681 0.73018 0.59978 |   477280   3995   56.5
-M4D 0.5                            0.80961  0.06126  0.05122 | 0.92660 0.88187 0.74429 | 0.04324 0.03387 0.07925 | 0.05462 0.06821 0.04430 | 0.79094 0.72344 0.72218 0.58640 |   476502   5072   52.2
-M4D 1                              0.80953  0.06105  0.05089 | 0.92660 0.88187 0.74407 | 0.04315 0.03373 0.07893 | 0.05389 0.06778 0.04422 | 0.78947 0.72175 0.72058 0.57971 |   475988   5752   49.4
-M4D 2                              0.80953  0.06070  0.05074 | 0.92660 0.88187 0.74407 | 0.04307 0.03358 0.07839 | 0.05365 0.06748 0.04415 | 0.78728 0.72175 0.71497 0.56968 |   475467   6547   45.1
-MRI 0                              0.80944  0.06223  0.05515 | 0.92580 0.88136 0.74485 | 0.04327 0.03405 0.08107 | 0.06610 0.06830 0.04520 | 0.79313 0.73187 0.74139 0.61650 |   479887    468   46.6
-MRI 0.5                            0.80838  0.06207  0.05454 | 0.92398 0.87933 0.74485 | 0.04294 0.03371 0.08100 | 0.06462 0.06744 0.04516 | 0.79020 0.72850 0.73819 0.61650 |   479091   1444   43.2
-MRI 1                              0.80634  0.06190  0.05404 | 0.92136 0.87475 0.74429 | 0.04251 0.03341 0.08093 | 0.06350 0.06685 0.04509 | 0.78582 0.72175 0.73259 0.61538 |   477919   2913   33.6
-MRI 2                              0.79667  0.06150  0.05364 | 0.91021 0.84903 0.74208 | 0.04140 0.03247 0.08080 | 0.06279 0.06638 0.04500 | 0.76535 0.69815 0.71737 0.61093 |   473964   7773   19.1
-MRI 3                              0.76667  0.06080  0.05403 | 0.88335 0.76909 0.72779 | 0.03880 0.03072 0.08068 | 0.06349 0.06866 0.04501 | 0.70687 0.62395 0.68455 0.60870 |   464217  19221    9.8
-MR -1.5                            0.80979  0.06231  0.05409 | 0.92637 0.88187 0.74496 | 0.04340 0.03420 0.08107 | 0.06382 0.06644 0.04507 | 0.79386 0.73019 0.74059 0.61427 |   479459   1019   83.1
-MR -1                              0.80948  0.06236  0.05173 | 0.92580 0.88162 0.74485 | 0.04344 0.03418 0.08104 | 0.05939 0.06137 0.04469 | 0.79313 0.73019 0.73499 0.61204 |   477931   2876   78.9
-MR -0.5                            0.80882  0.06229  0.04962 | 0.92500 0.88009 0.74463 | 0.04319 0.03393 0.08101 | 0.05590 0.05637 0.04422 | 0.79167 0.72681 0.72378 0.59643 |   476316   4844   73.1
-MR 0                               0.80771  0.06209  0.04780 | 0.92352 0.87780 0.74429 | 0.04276 0.03353 0.08088 | 0.05304 0.05167 0.04384 | 0.78728 0.72175 0.71177 0.58417 |   474560   7034   66.3
-MR 0.5                             0.80617  0.06141  0.04577 | 0.92216 0.87245 0.74407 | 0.04145 0.03170 0.08068 | 0.04922 0.04760 0.04338 | 0.78436 0.71669 0.69255 0.56187 |   471882  10619   57.2
-MR 1                               0.80352  0.06062  0.04414 | 0.91783 0.86864 0.74330 | 0.03966 0.02982 0.08049 | 0.04626 0.04424 0.04299 | 0.77997 0.70658 0.66853 0.54292 |   468459  15174   47.8
-MR 2                               0.79768  0.05958  0.04255 | 0.91294 0.85209 0.74064 | 0.03757 0.02687 0.08002 | 0.04384 0.04021 0.04250 | 0.75804 0.65599 0.59968 0.47826 |   461347  24720   34.9
-C25 0.5 -C25D -2                   0.80966  0.06216  0.05477 | 0.92603 0.88187 0.74496 | 0.04305 0.03409 0.08104 | 0.06490 0.06822 0.04519 | 0.79459 0.73187 0.74139 0.61650 |   479668    990   57.6
-C25 1 -C25D -2                     0.80944  0.06201  0.05439 | 0.92546 0.88187 0.74496 | 0.04266 0.03387 0.08101 | 0.06397 0.06777 0.04514 | 0.79459 0.73187 0.74059 0.61650 |   479150   1838   47.8
-C25 2 -C25D -2                     0.80886  0.06192  0.05417 | 0.92512 0.87958 0.74485 | 0.04247 0.03357 0.08099 | 0.06346 0.06749 0.04513 | 0.79313 0.73187 0.74059 0.61650 |   478643   2904   38.3
-C25 0 -C25D -1                     0.80979  0.06236  0.05249 | 0.92648 0.88162 0.74496 | 0.04344 0.03414 0.08108 | 0.06095 0.06254 0.04487 | 0.79386 0.73187 0.73659 0.61204 |   478465   2398   79.3
-C25 0 -C25D 0                      0.80953  0.06240  0.05114 | 0.92625 0.88060 0.74496 | 0.04347 0.03411 0.08108 | 0.05825 0.05979 0.04470 | 0.79240 0.73187 0.72538 0.59532 |   477443   3697   73.4
-C25 1 -C25D -1                     0.80900  0.06195  0.05081 | 0.92512 0.88035 0.74485 | 0.04248 0.03341 0.08095 | 0.05709 0.06012 0.04465 | 0.79240 0.73019 0.73499 0.61093 |   476794   4977   63.3
-C25 2 -C25D 0                      0.80648  0.06159  0.04872 | 0.92307 0.87093 0.74463 | 0.04195 0.03199 0.08077 | 0.05295 0.05598 0.04433 | 0.78509 0.72513 0.71737 0.59086 |   473952   9338   49.9
------------------------------------------------------------------------------------------------------------------------

DELTAS vs baseline (sorted by fake gain)
label                        d_eff     d_dup    d_fake     d_v15    d_v510   d_v1030     d_d15  kill/evt
-MR 2                     -0.01224  -0.00272  -0.01296  -0.03655  -0.07757  -0.14171  -0.13824     82.40
-MR 1                     -0.00641  -0.00168  -0.01137  -0.01462  -0.02698  -0.07286  -0.07358     50.58
-MR 0.5                   -0.00376  -0.00089  -0.00975  -0.01023  -0.01686  -0.04884  -0.05463     35.40
-MR 0                     -0.00221  -0.00021  -0.00771  -0.00731  -0.01180  -0.02962  -0.03233     23.45
-C25 2 -C25D 0            -0.00345  -0.00071  -0.00679  -0.00950  -0.00843  -0.02402  -0.02564     31.13
-MR -0.5                  -0.00110  -0.00001  -0.00589  -0.00292  -0.00675  -0.01761  -0.02007     16.15
-M4D 2                    -0.00040  -0.00160  -0.00477  -0.00731  -0.01180  -0.02642  -0.04682     21.82
-C25 1 -C25D -1           -0.00093  -0.00035  -0.00470  -0.00219  -0.00337  -0.00641  -0.00557     16.59
-M4D 1                    -0.00040  -0.00125  -0.00462  -0.00512  -0.01180  -0.02082  -0.03679     19.17
-C25 0 -C25D 0            -0.00040  +0.00010  -0.00438  -0.00219  -0.00169  -0.01601  -0.02118     12.32
-M4D 0.5                  -0.00031  -0.00104  -0.00429  -0.00365  -0.01012  -0.01922  -0.03010     16.91
-MR -1                    -0.00044  +0.00006  -0.00378  -0.00146  -0.00337  -0.00641  -0.00446      9.59
-M4D 0                    -0.00022  -0.00079  -0.00365  -0.00292  -0.00675  -0.01121  -0.01672     13.32
-C25 0 -C25D -1           -0.00013  +0.00006  -0.00303  -0.00073  -0.00169  -0.00480  -0.00446      7.99
-M4D -0.5                 -0.00018  -0.00050  -0.00259  -0.00292  -0.00337  -0.00801  -0.00892      9.06
-MRI 2                    -0.01325  -0.00079  -0.00187  -0.02924  -0.03541  -0.02402  -0.00557     25.91
-MRI 3                    -0.04326  -0.00150  -0.00149  -0.08772  -0.10961  -0.05685  -0.00780     64.07
-MRI 1                    -0.00358  -0.00040  -0.00147  -0.00877  -0.01180  -0.00881  -0.00111      9.71
-MR -1.5                  -0.00013  +0.00001  -0.00142  -0.00073  -0.00337  -0.00080  -0.00223      3.40
-C25 2 -C25D -2           -0.00106  -0.00038  -0.00134  -0.00146  -0.00169  -0.00080  +0.00000      9.68
-C25 1 -C25D -2           -0.00049  -0.00029  -0.00113  +0.00000  -0.00169  -0.00080  +0.00000      6.13
-MRI 0.5                  -0.00155  -0.00023  -0.00098  -0.00439  -0.00506  -0.00320  +0.00000      4.81
-M4D -1                   +0.00000  -0.00016  -0.00087  +0.00000  +0.00000  -0.00320  -0.00334      3.00
-C25 0.5 -C25D -2         -0.00027  -0.00014  -0.00075  +0.00000  -0.00169  +0.00000  +0.00000      3.30
-MRI 0                    -0.00049  -0.00007  -0.00037  -0.00146  -0.00169  +0.00000  +0.00000      1.56
-M4 4.5                   -0.00097  -0.00213  +0.00013  -0.00073  -0.00337  +0.00000  +0.00000      6.62
-M4 5                     -0.00177  -0.00344  +0.00022  -0.00292  -0.00506  +0.00000  +0.00000     10.02
-M4 6                     -0.00199  -0.00405  +0.00025  -0.00292  -0.00506  +0.00000  +0.00000     11.28
-M4 8                     -0.00199  -0.00405  +0.00025  -0.00292  -0.00506  +0.00000  +0.00000     11.28
