
### delivery class x type
cell                                                   N    N/evt    fake%     dup%  f-or-d%
carried/pLS                                       592016   605.95     4.80     9.21    14.02
chain/T5                                          323385   331.00     9.31     5.79    15.10
attachT3/pT3                                       91813    93.97    17.76     1.60    19.36
zp8pLS/pLS                                         21040    21.54     6.00    66.90    72.89
chain/T4                                           25529    26.13    33.36    21.07    54.43
attachT5/pT5                                      524674   537.03     0.74     0.65     1.39

### x nhitOT
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                592016   605.95     4.80     9.21    14.02
('chain/T5', 10)                                  170171   174.18    14.08     6.18    20.26
('attachT3/pT3', 6)                                91813    93.97    17.76     1.60    19.36
('zp8pLS/pLS', 0)                                  21040    21.54     6.00    66.90    72.89
('chain/T4', 8)                                    25529    26.13    33.36    21.07    54.43
('chain/T5', 12)                                  146333   149.78     4.10     5.36     9.46
('attachT5/pT5', 10)                              234291   239.81     0.92     0.87     1.80
('attachT5/pT5', 12)                              274158   280.61     0.60     0.45     1.05
('chain/T5', 14)                                    6881     7.04     1.96     5.23     7.19
('attachT5/pT5', 14)                               16225    16.61     0.52     0.89     1.41

### x -G 6 admission branch (dbgBr)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', -1)                               592016   605.95     4.80     9.21    14.02
('chain/T5', 3)                                   159410   163.16    15.48     5.20    20.68
('attachT3/pT3', -1)                               91813    93.97    17.76     1.60    19.36
('chain/T5', 2)                                   163567   167.42     3.30     6.32     9.62
('zp8pLS/pLS', -1)                                 21040    21.54     6.00    66.90    72.89
('chain/T4', 1)                                    17468    17.88    48.29    11.16    59.45
('attachT5/pT5', 2)                               465160   476.11     0.48     0.59     1.07
('chain/T4', 0)                                     8061     8.25     1.02    42.54    43.56
('attachT5/pT5', 3)                                59514    60.92     2.82     1.11     3.93
('chain/T5', 0)                                      220     0.23     0.91    27.73    28.64

### x chain nLayers (dbgNL)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                592016   605.95     4.80     9.21    14.02
('chain/T5', 5)                                   170171   174.18    14.08     6.18    20.26
('attachT3/pT3', 0)                                91813    93.97    17.76     1.60    19.36
('zp8pLS/pLS', 0)                                  21040    21.54     6.00    66.90    72.89
('chain/T4', 4)                                    25529    26.13    33.36    21.07    54.43
('chain/T5', 6)                                   146333   149.78     4.10     5.36     9.46
('attachT5/pT5', 5)                               234291   239.81     0.92     0.87     1.80
('attachT5/pT5', 6)                               274158   280.61     0.60     0.45     1.05
('chain/T5', 7)                                     6881     7.04     1.96     5.23     7.19
('attachT5/pT5', 7)                                16225    16.61     0.52     0.89     1.41

### x member-T3 count (dbgNN)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                592016   605.95     4.80     9.21    14.02
('chain/T5', 3)                                   181857   186.14     7.45     5.89    13.34
('chain/T5', 2)                                   103436   105.87    14.86     5.68    20.55
('attachT3/pT3', 0)                                91813    93.97    17.76     1.60    19.36
('zp8pLS/pLS', 0)                                  21040    21.54     6.00    66.90    72.89
('chain/T4', 2)                                    25529    26.13    33.36    21.07    54.43
('attachT5/pT5', 3)                               295900   302.87     0.76     0.66     1.43
('chain/T5', 4)                                    37501    38.38     3.03     5.56     8.60
('attachT5/pT5', 2)                               146594   150.05     0.80     0.58     1.38
('attachT5/pT5', 4)                                80852    82.76     0.56     0.69     1.25
('chain/T5', 5)                                      591     0.60     4.40     8.12    12.52
('attachT5/pT5', 5)                                 1328     1.36     1.05     3.46     4.52

### x PS-module MD count (dbgNPS)
cell                                                   N    N/evt    fake%     dup%  f-or-d%
('carried/pLS', 0)                                592016   605.95     4.80     9.21    14.02
('chain/T5', 3)                                   231577   237.03     7.80     5.33    13.13
('attachT3/pT3', 0)                                91813    93.97    17.76     1.60    19.36
('zp8pLS/pLS', 0)                                  21040    21.54     6.00    66.90    72.89
('chain/T5', 2)                                    44964    46.02    21.60     5.74    27.33
('chain/T4', 4)                                    10789    11.04     5.62    35.43    41.05
('chain/T4', 3)                                     6467     6.62    43.45    18.34    61.79
('attachT5/pT5', 3)                               327701   335.42     0.70     0.47     1.17
('chain/T4', 1)                                     5394     5.52    58.47     2.87    61.35
('chain/T5', 5)                                    25422    26.02     3.77     7.77    11.54
