band                                    W_X4                 W_X45                  W_A7                W_GATE             LST(base)
------------------------------------------------------------------------------------------------------------------------------------
eff overall(pt>0.9)      0.80905 59693/73782   0.80964 59737/73782   0.80951 59727/73782   0.80213 59183/73782   0.80987 59754/73782
eff vxy[0,1)             0.84144 57705/68579   0.84204 57746/68579   0.84190 57737/68579   0.83399 57194/68579   0.84285 57802/68579
eff vxy[1,5)               0.80110 3653/4560     0.80197 3657/4560     0.80000 3648/4560     0.79737 3636/4560     0.77719 3544/4560
eff vxy[5,10)              0.72161 1436/1990     0.72161 1436/1990     0.72211 1437/1990     0.72010 1433/1990     0.64422 1282/1990
eff vxy[10,30)             0.71474 2929/4098     0.71474 2929/4098     0.71474 2929/4098     0.71474 2929/4098     0.62567 2564/4098
eff vxy[30,inf)                          n/a                   n/a                   n/a                   n/a                   n/a
eff dxy[0,1)             0.83518 64162/76824   0.83577 64207/76824   0.83555 64190/76824   0.82827 63631/76824   0.82956 63730/76824
eff dxy[1,5)               0.58320 1763/3023     0.58320 1763/3023     0.58320 1763/3023     0.58320 1763/3023     0.51042 1543/3023
eff dxy[5,10)                0.24521 243/991       0.24521 243/991       0.24521 243/991       0.24521 243/991       0.22906 227/991
eff dxy[10,30)               0.03151 49/1555       0.03151 49/1555       0.03151 49/1555       0.03151 49/1555       0.05402 84/1555
eff dxy[30,inf)                          n/a                   n/a                   n/a                   n/a                   n/a
eff barrel               0.92454 26356/28507   0.92535 26379/28507   0.92311 26315/28507   0.90799 25884/28507   0.92430 26349/28507
