A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a08_ref/r_P_M4DOFF_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3267       0.3281      -0.0015
eff overall (pt>0.9)             0.8063       0.8099      -0.0035
eff vxy [0,1)                    0.8390       0.8430      -0.0039
eff vxy [1,5)                    0.7997       0.7719      +0.0278
eff vxy [5,10)                   0.7521       0.6543      +0.0978
eff vxy [10,30)                  0.7678       0.6645      +0.1033
eff dxy [0,1)                    0.8347       0.8307      +0.0040
eff dxy [1,5)                    0.6555       0.5541      +0.1014
eff dxy [5,10)                   0.2419       0.2097      +0.0323
eff dxy [10,30)                  0.0331       0.0567      -0.0236
eff barrel |eta|<1.1             0.9211       0.9256      -0.0044
eff transition 1.1-1.7           0.8765       0.8819      -0.0053
eff endcap >1.7                  0.7437       0.7460      -0.0022
dup rate (pt sums)               0.0615       0.0503      +0.0112
dup rate (pt>0.9)                0.0615       0.0518      +0.0097
dup rate barrel                  0.0388       0.0099      +0.0290
dup rate transition              0.0456       0.0126      +0.0330
dup rate endcap                  0.0819       0.0856      -0.0037
fake rate (pt sums)              0.1427       0.0447      +0.0980
fake rate (pt>0.9)               0.1383       0.0448      +0.0935
fake rate barrel                 0.2306       0.0425      +0.1881
fake rate transition             0.1973       0.0445      +0.1527
fake rate endcap                 0.0569       0.0460      +0.0108
mean nhitOT                       6.554        6.519       +0.036
mean nhitOT barrel                9.425       10.148       -0.723
mean nhitOT transition            9.566       10.015       -0.449
mean nhitOT endcap                3.616        3.562       +0.053
n TC (fr denom)                  687404       608190       +79214
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a08_ref/r_P_M4DOFF.json
