A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_A_R0XC0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3308       0.3281      +0.0027
eff overall (pt>0.9)             0.8173       0.8099      +0.0074
eff vxy [0,1)                    0.8506       0.8430      +0.0077
eff vxy [1,5)                    0.8004       0.7719      +0.0285
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8446       0.8307      +0.0139
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9322       0.9256      +0.0066
eff transition 1.1-1.7           0.8915       0.8819      +0.0097
eff endcap >1.7                  0.7539       0.7460      +0.0080
dup rate (pt sums)               0.3358       0.0503      +0.2855
dup rate (pt>0.9)                0.3554       0.0518      +0.3036
dup rate barrel                  0.2617       0.0099      +0.2519
dup rate transition              0.3200       0.0126      +0.3073
dup rate endcap                  0.4138       0.0856      +0.3282
fake rate (pt sums)              0.0496       0.0447      +0.0049
fake rate (pt>0.9)               0.0506       0.0448      +0.0059
fake rate barrel                 0.0604       0.0425      +0.0179
fake rate transition             0.0609       0.0445      +0.0164
fake rate endcap                 0.0426       0.0460      -0.0034
mean nhitOT                       5.395        6.519       -1.124
mean nhitOT barrel                8.606       10.148       -1.542
mean nhitOT transition            8.292       10.015       -1.724
mean nhitOT endcap                2.906        3.562       -0.657
n TC (fr denom)                  729962       608190      +121772
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_A_R0XC0.json
