A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_B_R3A7_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3275       0.3281      -0.0006
eff overall (pt>0.9)             0.8102       0.8099      +0.0003
eff vxy [0,1)                    0.8432       0.8430      +0.0003
eff vxy [1,5)                    0.7887       0.7719      +0.0168
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8373       0.8307      +0.0066
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9235       0.9256      -0.0020
eff transition 1.1-1.7           0.8811       0.8819      -0.0008
eff endcap >1.7                  0.7491       0.7460      +0.0031
dup rate (pt sums)               0.0703       0.0503      +0.0200
dup rate (pt>0.9)                0.0714       0.0518      +0.0196
dup rate barrel                  0.0454       0.0099      +0.0356
dup rate transition              0.0394       0.0126      +0.0268
dup rate endcap                  0.0948       0.0856      +0.0092
fake rate (pt sums)              0.0487       0.0447      +0.0040
fake rate (pt>0.9)               0.0496       0.0448      +0.0048
fake rate barrel                 0.0579       0.0425      +0.0154
fake rate transition             0.0610       0.0445      +0.0165
fake rate endcap                 0.0418       0.0460      -0.0043
mean nhitOT                       6.382        6.519       -0.137
mean nhitOT barrel                9.804       10.148       -0.344
mean nhitOT transition            9.876       10.015       -0.139
mean nhitOT endcap                3.505        3.562       -0.057
n TC (fr denom)                  616333       608190        +8143
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_B_R3A7.json
