A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_D_G1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3276       0.3281      -0.0005
eff overall (pt>0.9)             0.8094       0.8099      -0.0005
eff vxy [0,1)                    0.8422       0.8430      -0.0007
eff vxy [1,5)                    0.7939       0.7719      +0.0219
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8367       0.8307      +0.0060
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9257       0.9256      +0.0001
eff transition 1.1-1.7           0.8819       0.8819      +0.0000
eff endcap >1.7                  0.7446       0.7460      -0.0013
dup rate (pt sums)               0.0588       0.0503      +0.0085
dup rate (pt>0.9)                0.0596       0.0518      +0.0078
dup rate barrel                  0.0349       0.0099      +0.0250
dup rate transition              0.0340       0.0126      +0.0213
dup rate endcap                  0.0808       0.0856      -0.0048
fake rate (pt sums)              0.0539       0.0447      +0.0092
fake rate (pt>0.9)               0.0556       0.0448      +0.0108
fake rate barrel                 0.0671       0.0425      +0.0246
fake rate transition             0.0690       0.0445      +0.0245
fake rate endcap                 0.0452       0.0460      -0.0009
mean nhitOT                       6.454        6.519       -0.064
mean nhitOT barrel                9.852       10.148       -0.296
mean nhitOT transition            9.887       10.015       -0.129
mean nhitOT endcap                3.562        3.562       -0.000
n TC (fr denom)                  617507       608190        +9317
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_D_G1.json
