A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_D_R0X25_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3281      -0.0010
eff overall (pt>0.9)             0.8081       0.8099      -0.0018
eff vxy [0,1)                    0.8409       0.8430      -0.0020
eff vxy [1,5)                    0.7939       0.7719      +0.0219
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8355       0.8307      +0.0048
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9218       0.9256      -0.0038
eff transition 1.1-1.7           0.8791       0.8819      -0.0028
eff endcap >1.7                  0.7463       0.7460      +0.0003
dup rate (pt sums)               0.0661       0.0503      +0.0158
dup rate (pt>0.9)                0.0678       0.0518      +0.0160
dup rate barrel                  0.0330       0.0099      +0.0231
dup rate transition              0.0255       0.0126      +0.0128
dup rate endcap                  0.0991       0.0856      +0.0135
fake rate (pt sums)              0.0539       0.0447      +0.0092
fake rate (pt>0.9)               0.0555       0.0448      +0.0107
fake rate barrel                 0.0673       0.0425      +0.0248
fake rate transition             0.0694       0.0445      +0.0249
fake rate endcap                 0.0450       0.0460      -0.0010
mean nhitOT                       6.426        6.519       -0.092
mean nhitOT barrel                9.882       10.148       -0.266
mean nhitOT transition            9.939       10.015       -0.077
mean nhitOT endcap                3.522        3.562       -0.040
n TC (fr denom)                  619983       608190       +11793
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_D_R0X25.json
