A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_E_R3G1A7_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3281      -0.0009
eff overall (pt>0.9)             0.8095       0.8099      -0.0004
eff vxy [0,1)                    0.8425       0.8430      -0.0005
eff vxy [1,5)                    0.7880       0.7719      +0.0161
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8366       0.8307      +0.0058
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9226       0.9256      -0.0030
eff transition 1.1-1.7           0.8809       0.8819      -0.0010
eff endcap >1.7                  0.7483       0.7460      +0.0023
dup rate (pt sums)               0.0671       0.0503      +0.0168
dup rate (pt>0.9)                0.0681       0.0518      +0.0163
dup rate barrel                  0.0364       0.0099      +0.0265
dup rate transition              0.0390       0.0126      +0.0264
dup rate endcap                  0.0937       0.0856      +0.0082
fake rate (pt sums)              0.0487       0.0447      +0.0040
fake rate (pt>0.9)               0.0496       0.0448      +0.0049
fake rate barrel                 0.0581       0.0425      +0.0157
fake rate transition             0.0610       0.0445      +0.0165
fake rate endcap                 0.0417       0.0460      -0.0044
mean nhitOT                       6.397        6.519       -0.121
mean nhitOT barrel                9.858       10.148       -0.291
mean nhitOT transition            9.886       10.015       -0.129
mean nhitOT endcap                3.510        3.562       -0.053
n TC (fr denom)                  614786       608190        +6596
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a09_ref/r_E_R3G1A7.json
