A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_50_F10_AT65_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3276       0.3281      -0.0005
eff overall (pt>0.9)             0.8101       0.8099      +0.0002
eff vxy [0,1)                    0.8430       0.8430      +0.0000
eff vxy [1,5)                    0.7909       0.7719      +0.0190
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7358       0.6645      +0.0713
eff dxy [0,1)                    0.8369       0.8307      +0.0062
eff dxy [1,5)                    0.6120       0.5541      +0.0580
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9264       0.9256      +0.0008
eff transition 1.1-1.7           0.8824       0.8819      +0.0005
eff endcap >1.7                  0.7454       0.7460      -0.0006
dup rate (pt sums)               0.0565       0.0503      +0.0062
dup rate (pt>0.9)                0.0567       0.0518      +0.0049
dup rate barrel                  0.0291       0.0099      +0.0193
dup rate transition              0.0324       0.0126      +0.0198
dup rate endcap                  0.0792       0.0856      -0.0064
fake rate (pt sums)              0.0499       0.0447      +0.0052
fake rate (pt>0.9)               0.0509       0.0448      +0.0062
fake rate barrel                 0.0599       0.0425      +0.0174
fake rate transition             0.0610       0.0445      +0.0164
fake rate endcap                 0.0430       0.0460      -0.0031
mean nhitOT                       6.461        6.519       -0.058
mean nhitOT barrel                9.907       10.148       -0.241
mean nhitOT transition            9.903       10.015       -0.112
mean nhitOT endcap                3.531        3.562       -0.031
n TC (fr denom)                  612793       608190        +4603
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_50_F10_AT65.json
