A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_50_F10_WZ0_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3279       0.3281      -0.0002
eff overall (pt>0.9)             0.8102       0.8099      +0.0004
eff vxy [0,1)                    0.8431       0.8430      +0.0001
eff vxy [1,5)                    0.7931       0.7719      +0.0212
eff vxy [5,10)                   0.7285       0.6543      +0.0742
eff vxy [10,30)                  0.7142       0.6645      +0.0496
eff dxy [0,1)                    0.8363       0.8307      +0.0056
eff dxy [1,5)                    0.5931       0.5541      +0.0390
eff dxy [5,10)                   0.1855       0.2097      -0.0242
eff dxy [10,30)                  0.0260       0.0567      -0.0307
eff barrel |eta|<1.1             0.9271       0.9256      +0.0015
eff transition 1.1-1.7           0.8831       0.8819      +0.0013
eff endcap >1.7                  0.7448       0.7460      -0.0011
dup rate (pt sums)               0.0536       0.0503      +0.0032
dup rate (pt>0.9)                0.0538       0.0518      +0.0020
dup rate barrel                  0.0243       0.0099      +0.0144
dup rate transition              0.0259       0.0126      +0.0132
dup rate endcap                  0.0781       0.0856      -0.0075
fake rate (pt sums)              0.0468       0.0447      +0.0021
fake rate (pt>0.9)               0.0478       0.0448      +0.0031
fake rate barrel                 0.0482       0.0425      +0.0057
fake rate transition             0.0562       0.0445      +0.0116
fake rate endcap                 0.0451       0.0460      -0.0009
mean nhitOT                       6.437        6.519       -0.082
mean nhitOT barrel                9.886       10.148       -0.262
mean nhitOT transition            9.868       10.015       -0.148
mean nhitOT endcap                3.546        3.562       -0.017
n TC (fr denom)                  610525       608190        +2335
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_50_F10_WZ0.json
