A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_50_X35_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3276       0.3281      -0.0005
eff overall (pt>0.9)             0.8096       0.8099      -0.0003
eff vxy [0,1)                    0.8425       0.8430      -0.0005
eff vxy [1,5)                    0.7939       0.7719      +0.0219
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7358       0.6645      +0.0713
eff dxy [0,1)                    0.8366       0.8307      +0.0059
eff dxy [1,5)                    0.6120       0.5541      +0.0580
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9263       0.9256      +0.0007
eff transition 1.1-1.7           0.8819       0.8819      +0.0000
eff endcap >1.7                  0.7446       0.7460      -0.0013
dup rate (pt sums)               0.0535       0.0503      +0.0032
dup rate (pt>0.9)                0.0541       0.0518      +0.0023
dup rate barrel                  0.0239       0.0099      +0.0140
dup rate transition              0.0278       0.0126      +0.0152
dup rate endcap                  0.0787       0.0856      -0.0069
fake rate (pt sums)              0.0537       0.0447      +0.0090
fake rate (pt>0.9)               0.0552       0.0448      +0.0105
fake rate barrel                 0.0656       0.0425      +0.0231
fake rate transition             0.0673       0.0445      +0.0227
fake rate endcap                 0.0459       0.0460      -0.0002
mean nhitOT                       6.492        6.519       -0.027
mean nhitOT barrel                9.927       10.148       -0.221
mean nhitOT transition            9.924       10.015       -0.091
mean nhitOT endcap                3.563        3.562       +0.000
n TC (fr denom)                  615053       608190        +6863
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_50_X35.json
