A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_55_AT7_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3281      -0.0009
eff overall (pt>0.9)             0.8093       0.8099      -0.0006
eff vxy [0,1)                    0.8422       0.8430      -0.0007
eff vxy [1,5)                    0.7887       0.7719      +0.0168
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7374       0.6645      +0.0729
eff dxy [0,1)                    0.8362       0.8307      +0.0055
eff dxy [1,5)                    0.6132       0.5541      +0.0591
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9242       0.9256      -0.0014
eff transition 1.1-1.7           0.8801       0.8819      -0.0018
eff endcap >1.7                  0.7466       0.7460      +0.0007
dup rate (pt sums)               0.0596       0.0503      +0.0093
dup rate (pt>0.9)                0.0598       0.0518      +0.0080
dup rate barrel                  0.0317       0.0099      +0.0219
dup rate transition              0.0343       0.0126      +0.0216
dup rate endcap                  0.0826       0.0856      -0.0030
fake rate (pt sums)              0.0486       0.0447      +0.0039
fake rate (pt>0.9)               0.0494       0.0448      +0.0046
fake rate barrel                 0.0569       0.0425      +0.0144
fake rate transition             0.0597       0.0445      +0.0152
fake rate endcap                 0.0422       0.0460      -0.0038
mean nhitOT                       6.442        6.519       -0.076
mean nhitOT barrel                9.888       10.148       -0.260
mean nhitOT transition            9.913       10.015       -0.102
mean nhitOT endcap                3.531        3.562       -0.031
n TC (fr denom)                  611916       608190        +3726
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_55_AT7.json
