A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_55_F10_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3280       0.3281      -0.0001
eff overall (pt>0.9)             0.8105       0.8099      +0.0006
eff vxy [0,1)                    0.8433       0.8430      +0.0004
eff vxy [1,5)                    0.7946       0.7719      +0.0227
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7374       0.6645      +0.0729
eff dxy [0,1)                    0.8375       0.8307      +0.0068
eff dxy [1,5)                    0.6132       0.5541      +0.0591
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9277       0.9256      +0.0022
eff transition 1.1-1.7           0.8826       0.8819      +0.0008
eff endcap >1.7                  0.7450       0.7460      -0.0010
dup rate (pt sums)               0.0565       0.0503      +0.0061
dup rate (pt>0.9)                0.0567       0.0518      +0.0049
dup rate barrel                  0.0308       0.0099      +0.0209
dup rate transition              0.0320       0.0126      +0.0194
dup rate endcap                  0.0784       0.0856      -0.0071
fake rate (pt sums)              0.0530       0.0447      +0.0083
fake rate (pt>0.9)               0.0545       0.0448      +0.0097
fake rate barrel                 0.0655       0.0425      +0.0230
fake rate transition             0.0661       0.0445      +0.0215
fake rate endcap                 0.0449       0.0460      -0.0012
mean nhitOT                       6.465        6.519       -0.053
mean nhitOT barrel                9.879       10.148       -0.269
mean nhitOT transition            9.884       10.015       -0.132
mean nhitOT endcap                3.546        3.562       -0.017
n TC (fr denom)                  616192       608190        +8002
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_55_F10.json
