A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_ALL_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3277       0.3281      -0.0004
eff overall (pt>0.9)             0.8097       0.8099      -0.0002
eff vxy [0,1)                    0.8426       0.8430      -0.0004
eff vxy [1,5)                    0.7931       0.7719      +0.0212
eff vxy [5,10)                   0.7302       0.6543      +0.0759
eff vxy [10,30)                  0.7238       0.6645      +0.0592
eff dxy [0,1)                    0.8363       0.8307      +0.0055
eff dxy [1,5)                    0.6031       0.5541      +0.0491
eff dxy [5,10)                   0.1976       0.2097      -0.0121
eff dxy [10,30)                  0.0284       0.0567      -0.0284
eff barrel |eta|<1.1             0.9265       0.9256      +0.0009
eff transition 1.1-1.7           0.8816       0.8819      -0.0003
eff endcap >1.7                  0.7447       0.7460      -0.0012
dup rate (pt sums)               0.0524       0.0503      +0.0021
dup rate (pt>0.9)                0.0527       0.0518      +0.0009
dup rate barrel                  0.0237       0.0099      +0.0138
dup rate transition              0.0227       0.0126      +0.0100
dup rate endcap                  0.0775       0.0856      -0.0081
fake rate (pt sums)              0.0502       0.0447      +0.0055
fake rate (pt>0.9)               0.0515       0.0448      +0.0068
fake rate barrel                 0.0590       0.0425      +0.0165
fake rate transition             0.0599       0.0445      +0.0153
fake rate endcap                 0.0450       0.0460      -0.0010
mean nhitOT                       6.461        6.519       -0.058
mean nhitOT barrel                9.907       10.148       -0.241
mean nhitOT transition            9.903       10.015       -0.113
mean nhitOT endcap                3.551        3.562       -0.011
n TC (fr denom)                  612539       608190        +4349
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AJ_ALL.json
