A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AX_100_35_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3268       0.3281      -0.0013
eff overall (pt>0.9)             0.8073       0.8099      -0.0026
eff vxy [0,1)                    0.8401       0.8430      -0.0029
eff vxy [1,5)                    0.7924       0.7719      +0.0205
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7422       0.6645      +0.0777
eff dxy [0,1)                    0.8347       0.8307      +0.0040
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9230       0.9256      -0.0026
eff transition 1.1-1.7           0.8775       0.8819      -0.0043
eff endcap >1.7                  0.7440       0.7460      -0.0020
dup rate (pt sums)               0.0649       0.0503      +0.0145
dup rate (pt>0.9)                0.0674       0.0518      +0.0156
dup rate barrel                  0.0630       0.0099      +0.0531
dup rate transition              0.0309       0.0126      +0.0183
dup rate endcap                  0.0805       0.0856      -0.0050
fake rate (pt sums)              0.0551       0.0447      +0.0104
fake rate (pt>0.9)               0.0570       0.0448      +0.0123
fake rate barrel                 0.0693       0.0425      +0.0268
fake rate transition             0.0736       0.0445      +0.0290
fake rate endcap                 0.0454       0.0460      -0.0007
mean nhitOT                       6.422        6.519       -0.096
mean nhitOT barrel                9.713       10.148       -0.435
mean nhitOT transition            9.904       10.015       -0.111
mean nhitOT endcap                3.573        3.562       +0.010
n TC (fr denom)                  619509       608190       +11319
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a10_ref/r_AX_100_35.json
