A/B compare (Root__TC set): proto=a10_ref/r_W_A50F10_hists.root base=fin_ref/fin_base977_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3273       0.3277      -0.0005
eff overall (pt>0.9)             0.8093       0.8099      -0.0006
eff vxy [0,1)                    0.8418       0.8429      -0.0011
eff vxy [1,5)                    0.7998       0.7772      +0.0226
eff vxy [5,10)                   0.7191       0.6442      +0.0749
eff vxy [10,30)                  0.7079       0.6257      +0.0822
eff dxy [0,1)                    0.8351       0.8296      +0.0055
eff dxy [1,5)                    0.5792       0.5104      +0.0688
eff dxy [5,10)                   0.2452       0.2291      +0.0161
eff dxy [10,30)                  0.0315       0.0540      -0.0225
eff barrel |eta|<1.1             0.9255       0.9243      +0.0012
eff transition 1.1-1.7           0.8803       0.8800      +0.0003
eff endcap >1.7                  0.7438       0.7466      -0.0027
dup rate (pt sums)               0.0549       0.0499      +0.0050
dup rate (pt>0.9)                0.0552       0.0514      +0.0039
dup rate barrel                  0.0282       0.0097      +0.0185
dup rate transition              0.0311       0.0131      +0.0180
dup rate endcap                  0.0775       0.0849      -0.0073
fake rate (pt sums)              0.0536       0.0452      +0.0085
fake rate (pt>0.9)               0.0551       0.0454      +0.0097
fake rate barrel                 0.0660       0.0436      +0.0223
fake rate transition             0.0662       0.0454      +0.0208
fake rate endcap                 0.0457       0.0463      -0.0006
mean nhitOT                       6.473        6.519       -0.045
mean nhitOT barrel                9.892       10.150       -0.257
mean nhitOT transition            9.895       10.009       -0.115
mean nhitOT endcap                3.544        3.557       -0.013
n TC (fr denom)                 2023011      1998494       +24517
n sim (ef denom)                 204388       204388           +0
wrote a10_ref/r_W_A50F10.json
