A/B compare (Root__TC set): proto=a10_ref/r_W_A50F10_WZ0_hists.root base=fin_ref/fin_base977_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3277      -0.0006
eff overall (pt>0.9)             0.8090       0.8099      -0.0008
eff vxy [0,1)                    0.8415       0.8429      -0.0013
eff vxy [1,5)                    0.7976       0.7772      +0.0204
eff vxy [5,10)                   0.7136       0.6442      +0.0693
eff vxy [10,30)                  0.6850       0.6257      +0.0593
eff dxy [0,1)                    0.8338       0.8296      +0.0042
eff dxy [1,5)                    0.5574       0.5104      +0.0470
eff dxy [5,10)                   0.2392       0.2291      +0.0101
eff dxy [10,30)                  0.0296       0.0540      -0.0244
eff barrel |eta|<1.1             0.9254       0.9243      +0.0011
eff transition 1.1-1.7           0.8790       0.8800      -0.0011
eff endcap >1.7                  0.7438       0.7466      -0.0027
dup rate (pt sums)               0.0529       0.0499      +0.0030
dup rate (pt>0.9)                0.0531       0.0514      +0.0017
dup rate barrel                  0.0236       0.0097      +0.0139
dup rate transition              0.0251       0.0131      +0.0120
dup rate endcap                  0.0775       0.0849      -0.0073
fake rate (pt sums)              0.0474       0.0452      +0.0022
fake rate (pt>0.9)               0.0483       0.0454      +0.0029
fake rate barrel                 0.0489       0.0436      +0.0052
fake rate transition             0.0562       0.0454      +0.0108
fake rate endcap                 0.0457       0.0463      -0.0006
mean nhitOT                       6.437        6.519       -0.082
mean nhitOT barrel                9.883       10.150       -0.267
mean nhitOT transition            9.874       10.009       -0.135
mean nhitOT endcap                3.544        3.557       -0.013
n TC (fr denom)                 2006416      1998494        +7922
n sim (ef denom)                 204388       204388           +0
wrote a10_ref/r_W_A50F10_WZ0.json
