A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_A50_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3281       0.3281      +0.0000
eff overall (pt>0.9)             0.8107       0.8099      +0.0008
eff vxy [0,1)                    0.8436       0.8430      +0.0006
eff vxy [1,5)                    0.7946       0.7719      +0.0227
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7358       0.6645      +0.0713
eff dxy [0,1)                    0.8377       0.8307      +0.0069
eff dxy [1,5)                    0.6120       0.5541      +0.0580
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9281       0.9256      +0.0025
eff transition 1.1-1.7           0.8831       0.8819      +0.0013
eff endcap >1.7                  0.7450       0.7460      -0.0010
dup rate (pt sums)               0.0571       0.0503      +0.0068
dup rate (pt>0.9)                0.0576       0.0518      +0.0058
dup rate barrel                  0.0289       0.0099      +0.0190
dup rate transition              0.0335       0.0126      +0.0209
dup rate endcap                  0.0808       0.0856      -0.0048
fake rate (pt sums)              0.0537       0.0447      +0.0090
fake rate (pt>0.9)               0.0552       0.0448      +0.0104
fake rate barrel                 0.0654       0.0425      +0.0229
fake rate transition             0.0671       0.0445      +0.0226
fake rate endcap                 0.0459       0.0460      -0.0001
mean nhitOT                       6.472        6.519       -0.046
mean nhitOT barrel                9.890       10.148       -0.258
mean nhitOT transition            9.883       10.015       -0.133
mean nhitOT endcap                3.555        3.562       -0.007
n TC (fr denom)                  617061       608190        +8871
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_A50.json
