A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_F005_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3280       0.3281      -0.0002
eff overall (pt>0.9)             0.8102       0.8099      +0.0003
eff vxy [0,1)                    0.8431       0.8430      +0.0001
eff vxy [1,5)                    0.7953       0.7719      +0.0234
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8375       0.8307      +0.0068
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9257       0.9256      +0.0001
eff transition 1.1-1.7           0.8826       0.8819      +0.0008
eff endcap >1.7                  0.7463       0.7460      +0.0003
dup rate (pt sums)               0.0623       0.0503      +0.0120
dup rate (pt>0.9)                0.0632       0.0518      +0.0114
dup rate barrel                  0.0448       0.0099      +0.0349
dup rate transition              0.0350       0.0126      +0.0224
dup rate endcap                  0.0816       0.0856      -0.0040
fake rate (pt sums)              0.0475       0.0447      +0.0027
fake rate (pt>0.9)               0.0480       0.0448      +0.0033
fake rate barrel                 0.0541       0.0425      +0.0116
fake rate transition             0.0587       0.0445      +0.0141
fake rate endcap                 0.0416       0.0460      -0.0044
mean nhitOT                       6.426        6.519       -0.093
mean nhitOT barrel                9.813       10.148       -0.335
mean nhitOT transition            9.905       10.015       -0.110
mean nhitOT endcap                3.544        3.562       -0.019
n TC (fr denom)                  615157       608190        +6967
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_F005.json
