A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_F005A4_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3273       0.3281      -0.0008
eff overall (pt>0.9)             0.8076       0.8099      -0.0023
eff vxy [0,1)                    0.8403       0.8430      -0.0026
eff vxy [1,5)                    0.7924       0.7719      +0.0205
eff vxy [5,10)                   0.7386       0.6543      +0.0843
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8351       0.8307      +0.0043
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9252       0.9256      -0.0003
eff transition 1.1-1.7           0.8798       0.8819      -0.0020
eff endcap >1.7                  0.7415       0.7460      -0.0044
dup rate (pt sums)               0.0597       0.0503      +0.0094
dup rate (pt>0.9)                0.0606       0.0518      +0.0088
dup rate barrel                  0.0438       0.0099      +0.0339
dup rate transition              0.0331       0.0126      +0.0205
dup rate endcap                  0.0781       0.0856      -0.0075
fake rate (pt sums)              0.0548       0.0447      +0.0101
fake rate (pt>0.9)               0.0556       0.0448      +0.0108
fake rate barrel                 0.0603       0.0425      +0.0178
fake rate transition             0.0708       0.0445      +0.0263
fake rate endcap                 0.0484       0.0460      +0.0024
mean nhitOT                       6.466        6.519       -0.053
mean nhitOT barrel                9.812       10.148       -0.336
mean nhitOT transition            9.890       10.015       -0.126
mean nhitOT endcap                3.598        3.562       +0.035
n TC (fr denom)                  618245       608190       +10055
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_F005A4.json
