A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_F010X35_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3277       0.3281      -0.0004
eff overall (pt>0.9)             0.8096       0.8099      -0.0003
eff vxy [0,1)                    0.8424       0.8430      -0.0005
eff vxy [1,5)                    0.7946       0.7719      +0.0227
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8369       0.8307      +0.0062
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9252       0.9256      -0.0003
eff transition 1.1-1.7           0.8821       0.8819      +0.0003
eff endcap >1.7                  0.7454       0.7460      -0.0006
dup rate (pt sums)               0.0589       0.0503      +0.0086
dup rate (pt>0.9)                0.0598       0.0518      +0.0081
dup rate barrel                  0.0395       0.0099      +0.0297
dup rate transition              0.0292       0.0126      +0.0166
dup rate endcap                  0.0800       0.0856      -0.0056
fake rate (pt sums)              0.0483       0.0447      +0.0036
fake rate (pt>0.9)               0.0490       0.0448      +0.0042
fake rate barrel                 0.0549       0.0425      +0.0125
fake rate transition             0.0604       0.0445      +0.0159
fake rate endcap                 0.0424       0.0460      -0.0037
mean nhitOT                       6.447        6.519       -0.072
mean nhitOT barrel                9.858       10.148       -0.290
mean nhitOT transition            9.940       10.015       -0.075
mean nhitOT endcap                3.551        3.562       -0.011
n TC (fr denom)                  614282       608190        +6092
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_F010X35.json
