A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_R_F10R50T5_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3264       0.3281      -0.0017
eff overall (pt>0.9)             0.8070       0.8099      -0.0029
eff vxy [0,1)                    0.8398       0.8430      -0.0032
eff vxy [1,5)                    0.7902       0.7719      +0.0183
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8343       0.8307      +0.0035
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9228       0.9256      -0.0027
eff transition 1.1-1.7           0.8773       0.8819      -0.0046
eff endcap >1.7                  0.7434       0.7460      -0.0025
dup rate (pt sums)               0.0557       0.0503      +0.0054
dup rate (pt>0.9)                0.0566       0.0518      +0.0048
dup rate barrel                  0.0281       0.0099      +0.0183
dup rate transition              0.0328       0.0126      +0.0201
dup rate endcap                  0.0791       0.0856      -0.0065
fake rate (pt sums)              0.0482       0.0447      +0.0035
fake rate (pt>0.9)               0.0488       0.0448      +0.0041
fake rate barrel                 0.0553       0.0425      +0.0128
fake rate transition             0.0603       0.0445      +0.0157
fake rate endcap                 0.0419       0.0460      -0.0041
mean nhitOT                       6.478        6.519       -0.040
mean nhitOT barrel                9.943       10.148       -0.205
mean nhitOT transition            9.963       10.015       -0.053
mean nhitOT endcap                3.564        3.562       +0.002
n TC (fr denom)                  610326       608190        +2136
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_R_F10R50T5.json
