A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_R_F10R60_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3280       0.3281      -0.0001
eff overall (pt>0.9)             0.8104       0.8099      +0.0005
eff vxy [0,1)                    0.8432       0.8430      +0.0003
eff vxy [1,5)                    0.7953       0.7719      +0.0234
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8377       0.8307      +0.0070
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9266       0.9256      +0.0010
eff transition 1.1-1.7           0.8829       0.8819      +0.0010
eff endcap >1.7                  0.7457       0.7460      -0.0002
dup rate (pt sums)               0.0595       0.0503      +0.0092
dup rate (pt>0.9)                0.0602       0.0518      +0.0084
dup rate barrel                  0.0358       0.0099      +0.0259
dup rate transition              0.0344       0.0126      +0.0218
dup rate endcap                  0.0811       0.0856      -0.0044
fake rate (pt sums)              0.0483       0.0447      +0.0036
fake rate (pt>0.9)               0.0490       0.0448      +0.0042
fake rate barrel                 0.0550       0.0425      +0.0126
fake rate transition             0.0602       0.0445      +0.0157
fake rate endcap                 0.0424       0.0460      -0.0037
mean nhitOT                       6.443        6.519       -0.076
mean nhitOT barrel                9.870       10.148       -0.278
mean nhitOT transition            9.908       10.015       -0.107
mean nhitOT endcap                3.549        3.562       -0.014
n TC (fr denom)                  614733       608190        +6543
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_R_F10R60.json
