A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_W_C_A60_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fin_ref/fin_base977_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3277       0.3277      -0.0000
eff overall (pt>0.9)             0.8103       0.8099      +0.0004
eff vxy [0,1)                    0.8427       0.8429      -0.0002
eff vxy [1,5)                    0.8018       0.7772      +0.0246
eff vxy [5,10)                   0.7211       0.6442      +0.0769
eff vxy [10,30)                  0.7125       0.6257      +0.0869
eff dxy [0,1)                    0.8362       0.8296      +0.0067
eff dxy [1,5)                    0.5819       0.5104      +0.0715
eff dxy [5,10)                   0.2452       0.2291      +0.0161
eff dxy [10,30)                  0.0315       0.0540      -0.0225
eff barrel |eta|<1.1             0.9262       0.9243      +0.0019
eff transition 1.1-1.7           0.8815       0.8800      +0.0014
eff endcap >1.7                  0.7450       0.7466      -0.0016
dup rate (pt sums)               0.0589       0.0499      +0.0091
dup rate (pt>0.9)                0.0595       0.0514      +0.0082
dup rate barrel                  0.0344       0.0097      +0.0247
dup rate transition              0.0338       0.0131      +0.0207
dup rate endcap                  0.0810       0.0849      -0.0039
fake rate (pt sums)              0.0486       0.0452      +0.0035
fake rate (pt>0.9)               0.0492       0.0454      +0.0038
fake rate barrel                 0.0549       0.0436      +0.0112
fake rate transition             0.0593       0.0454      +0.0139
fake rate endcap                 0.0431       0.0463      -0.0032
mean nhitOT                       6.451        6.519       -0.068
mean nhitOT barrel                9.875       10.150       -0.275
mean nhitOT transition            9.910       10.009       -0.100
mean nhitOT endcap                3.543        3.557       -0.014
n TC (fr denom)                 2020749      1998494       +22255
n sim (ef denom)                 204388       204388           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a11_ref/r_W_C_A60.json
