A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a12_ref/r_A_a20_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3236       0.3281      -0.0045
eff overall (pt>0.9)             0.8007       0.8099      -0.0092
eff vxy [0,1)                    0.8335       0.8430      -0.0095
eff vxy [1,5)                    0.7683       0.7719      -0.0037
eff vxy [5,10)                   0.6880       0.6543      +0.0337
eff vxy [10,30)                  0.6821       0.6645      +0.0176
eff dxy [0,1)                    0.8247       0.8307      -0.0060
eff dxy [1,5)                    0.5585       0.5541      +0.0045
eff dxy [5,10)                   0.1855       0.2097      -0.0242
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9152       0.9256      -0.0104
eff transition 1.1-1.7           0.8707       0.8819      -0.0112
eff endcap >1.7                  0.7379       0.7460      -0.0081
dup rate (pt sums)               0.0458       0.0503      -0.0045
dup rate (pt>0.9)                0.0460       0.0518      -0.0058
dup rate barrel                  0.0111       0.0099      +0.0012
dup rate transition              0.0174       0.0126      +0.0047
dup rate endcap                  0.0738       0.0856      -0.0117
fake rate (pt sums)              0.0586       0.0447      +0.0139
fake rate (pt>0.9)               0.0602       0.0448      +0.0155
fake rate barrel                 0.0722       0.0425      +0.0297
fake rate transition             0.0747       0.0445      +0.0301
fake rate endcap                 0.0493       0.0460      +0.0033
mean nhitOT                       6.582        6.519       +0.064
mean nhitOT barrel               10.081       10.148       -0.067
mean nhitOT transition           10.076       10.015       +0.061
mean nhitOT endcap                3.606        3.562       +0.043
n TC (fr denom)                  605279       608190        -2911
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a12_ref/r_A_a20.json
