A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a12_ref/r_C_a6X1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3288       0.3281      +0.0007
eff overall (pt>0.9)             0.8124       0.8099      +0.0025
eff vxy [0,1)                    0.8453       0.8430      +0.0024
eff vxy [1,5)                    0.7961       0.7719      +0.0241
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7390       0.6645      +0.0745
eff dxy [0,1)                    0.8395       0.8307      +0.0088
eff dxy [1,5)                    0.6143       0.5541      +0.0602
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9305       0.9256      +0.0049
eff transition 1.1-1.7           0.8852       0.8819      +0.0033
eff endcap >1.7                  0.7461       0.7460      +0.0001
dup rate (pt sums)               0.1002       0.0503      +0.0498
dup rate (pt>0.9)                0.0980       0.0518      +0.0462
dup rate barrel                  0.1058       0.0099      +0.0959
dup rate transition              0.1024       0.0126      +0.0898
dup rate endcap                  0.0922       0.0856      +0.0067
fake rate (pt sums)              0.0525       0.0447      +0.0078
fake rate (pt>0.9)               0.0540       0.0448      +0.0093
fake rate barrel                 0.0634       0.0425      +0.0209
fake rate transition             0.0653       0.0445      +0.0207
fake rate endcap                 0.0452       0.0460      -0.0008
mean nhitOT                       6.314        6.519       -0.205
mean nhitOT barrel                9.440       10.148       -0.708
mean nhitOT transition            9.501       10.015       -0.514
mean nhitOT endcap                3.535        3.562       -0.028
n TC (fr denom)                  632510       608190       +24320
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a12_ref/r_C_a6X1.json
