A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a12_ref/r_D_a5T7X35_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3268       0.3281      -0.0013
eff overall (pt>0.9)             0.8086       0.8099      -0.0013
eff vxy [0,1)                    0.8415       0.8430      -0.0014
eff vxy [1,5)                    0.7880       0.7719      +0.0161
eff vxy [5,10)                   0.7319       0.6543      +0.0776
eff vxy [10,30)                  0.7358       0.6645      +0.0713
eff dxy [0,1)                    0.8354       0.8307      +0.0047
eff dxy [1,5)                    0.6120       0.5541      +0.0580
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9227       0.9256      -0.0028
eff transition 1.1-1.7           0.8798       0.8819      -0.0020
eff endcap >1.7                  0.7464       0.7460      +0.0004
dup rate (pt sums)               0.0554       0.0503      +0.0051
dup rate (pt>0.9)                0.0558       0.0518      +0.0040
dup rate barrel                  0.0246       0.0099      +0.0148
dup rate transition              0.0287       0.0126      +0.0160
dup rate endcap                  0.0808       0.0856      -0.0048
fake rate (pt sums)              0.0488       0.0447      +0.0041
fake rate (pt>0.9)               0.0496       0.0448      +0.0048
fake rate barrel                 0.0571       0.0425      +0.0146
fake rate transition             0.0599       0.0445      +0.0153
fake rate endcap                 0.0425       0.0460      -0.0036
mean nhitOT                       6.464        6.519       -0.055
mean nhitOT barrel                9.938       10.148       -0.210
mean nhitOT transition            9.951       10.015       -0.065
mean nhitOT endcap                3.535        3.562       -0.027
n TC (fr denom)                  609921       608190        +1731
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a12_ref/r_D_a5T7X35.json
