A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/p30_Q_A8_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3254       0.3281      -0.0027
eff overall (pt>0.9)             0.8066       0.8099      -0.0032
eff vxy [0,1)                    0.8354       0.8430      -0.0076
eff vxy [1,5)                    0.6914       0.7719      -0.0806
eff vxy [5,10)                   0.7255       0.6543      +0.0712
eff vxy [10,30)                  0.7615       0.6645      +0.0969
eff dxy [0,1)                    0.8259       0.8307      -0.0048
eff dxy [1,5)                    0.6495       0.5541      +0.0954
eff dxy [5,10)                   0.2222       0.2097      +0.0125
eff dxy [10,30)                  0.0000       0.0567      -0.0567
eff barrel |eta|<1.1             0.8994       0.9256      -0.0262
eff transition 1.1-1.7           0.8634       0.8819      -0.0185
eff endcap >1.7                  0.7688       0.7460      +0.0229
dup rate (pt sums)               0.0664       0.0503      +0.0160
dup rate (pt>0.9)                0.0678       0.0518      +0.0160
dup rate barrel                  0.0412       0.0099      +0.0313
dup rate transition              0.0400       0.0126      +0.0274
dup rate endcap                  0.0897       0.0856      +0.0041
fake rate (pt sums)              0.0472       0.0447      +0.0025
fake rate (pt>0.9)               0.0478       0.0448      +0.0031
fake rate barrel                 0.0564       0.0425      +0.0139
fake rate transition             0.0570       0.0445      +0.0125
fake rate endcap                 0.0407       0.0460      -0.0053
mean nhitOT                       6.329        6.519       -0.190
mean nhitOT barrel                9.772       10.148       -0.376
mean nhitOT transition            9.875       10.015       -0.141
mean nhitOT endcap                3.516        3.562       -0.047
n TC (fr denom)                   62144       608190      -546046
n sim (ef denom)                   6276        62555       -56279
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/p30_Q_A8.json
