A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/p30_R_X1D2_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3246       0.3281      -0.0035
eff overall (pt>0.9)             0.8022       0.8099      -0.0077
eff vxy [0,1)                    0.8306       0.8430      -0.0123
eff vxy [1,5)                    0.6914       0.7719      -0.0806
eff vxy [5,10)                   0.7255       0.6543      +0.0712
eff vxy [10,30)                  0.7615       0.6645      +0.0969
eff dxy [0,1)                    0.8216       0.8307      -0.0091
eff dxy [1,5)                    0.6495       0.5541      +0.0954
eff dxy [5,10)                   0.2222       0.2097      +0.0125
eff dxy [10,30)                  0.0000       0.0567      -0.0567
eff barrel |eta|<1.1             0.9043       0.9256      -0.0213
eff transition 1.1-1.7           0.8428       0.8819      -0.0391
eff endcap >1.7                  0.7627       0.7460      +0.0168
dup rate (pt sums)               0.0484       0.0503      -0.0020
dup rate (pt>0.9)                0.0495       0.0518      -0.0023
dup rate barrel                  0.0126       0.0099      +0.0027
dup rate transition              0.0208       0.0126      +0.0082
dup rate endcap                  0.0775       0.0856      -0.0080
fake rate (pt sums)              0.0538       0.0447      +0.0091
fake rate (pt>0.9)               0.0554       0.0448      +0.0107
fake rate barrel                 0.0683       0.0425      +0.0258
fake rate transition             0.0689       0.0445      +0.0244
fake rate endcap                 0.0446       0.0460      -0.0014
mean nhitOT                       6.534        6.519       +0.015
mean nhitOT barrel               10.070       10.148       -0.078
mean nhitOT transition           10.038       10.015       +0.022
mean nhitOT endcap                3.622        3.562       +0.059
n TC (fr denom)                   61946       608190      -546244
n sim (ef denom)                   6276        62555       -56279
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/p30_R_X1D2.json
