A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/r_D_A7RPSA55_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3270       0.3281      -0.0012
eff overall (pt>0.9)             0.8087       0.8099      -0.0012
eff vxy [0,1)                    0.8416       0.8430      -0.0013
eff vxy [1,5)                    0.7887       0.7719      +0.0168
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8359       0.8307      +0.0051
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9228       0.9256      -0.0027
eff transition 1.1-1.7           0.8796       0.8819      -0.0023
eff endcap >1.7                  0.7466       0.7460      +0.0007
dup rate (pt sums)               0.0601       0.0503      +0.0098
dup rate (pt>0.9)                0.0605       0.0518      +0.0087
dup rate barrel                  0.0326       0.0099      +0.0227
dup rate transition              0.0352       0.0126      +0.0225
dup rate endcap                  0.0830       0.0856      -0.0026
fake rate (pt sums)              0.0488       0.0447      +0.0041
fake rate (pt>0.9)               0.0498       0.0448      +0.0050
fake rate barrel                 0.0583       0.0425      +0.0158
fake rate transition             0.0612       0.0445      +0.0166
fake rate endcap                 0.0418       0.0460      -0.0042
mean nhitOT                       6.427        6.519       -0.092
mean nhitOT barrel                9.876       10.148       -0.272
mean nhitOT transition            9.910       10.015       -0.106
mean nhitOT endcap                3.533        3.562       -0.029
n TC (fr denom)                  612180       608190        +3990
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/r_D_A7RPSA55.json
