A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/r_D_RPSA55X35_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3274       0.3281      -0.0008
eff overall (pt>0.9)             0.8088       0.8099      -0.0011
eff vxy [0,1)                    0.8417       0.8430      -0.0013
eff vxy [1,5)                    0.7939       0.7719      +0.0219
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8362       0.8307      +0.0055
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9248       0.9256      -0.0008
eff transition 1.1-1.7           0.8809       0.8819      -0.0010
eff endcap >1.7                  0.7445       0.7460      -0.0014
dup rate (pt sums)               0.0548       0.0503      +0.0045
dup rate (pt>0.9)                0.0555       0.0518      +0.0037
dup rate barrel                  0.0269       0.0099      +0.0170
dup rate transition              0.0288       0.0126      +0.0162
dup rate endcap                  0.0791       0.0856      -0.0065
fake rate (pt sums)              0.0540       0.0447      +0.0093
fake rate (pt>0.9)               0.0557       0.0448      +0.0109
fake rate barrel                 0.0674       0.0425      +0.0249
fake rate transition             0.0692       0.0445      +0.0247
fake rate endcap                 0.0452       0.0460      -0.0008
mean nhitOT                       6.471        6.519       -0.048
mean nhitOT barrel                9.899       10.148       -0.249
mean nhitOT transition            9.918       10.015       -0.097
mean nhitOT endcap                3.566        3.562       +0.004
n TC (fr denom)                  615929       608190        +7739
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/r_D_RPSA55X35.json
