A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/r_W_X1R45_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fin_ref/fin_base977_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3272       0.3277      -0.0006
eff overall (pt>0.9)             0.8091       0.8099      -0.0008
eff vxy [0,1)                    0.8415       0.8429      -0.0014
eff vxy [1,5)                    0.8011       0.7772      +0.0239
eff vxy [5,10)                   0.7211       0.6442      +0.0769
eff vxy [10,30)                  0.7147       0.6257      +0.0891
eff dxy [0,1)                    0.8352       0.8296      +0.0056
eff dxy [1,5)                    0.5832       0.5104      +0.0728
eff dxy [5,10)                   0.2452       0.2291      +0.0161
eff dxy [10,30)                  0.0315       0.0540      -0.0225
eff barrel |eta|<1.1             0.9248       0.9243      +0.0005
eff transition 1.1-1.7           0.8803       0.8800      +0.0002
eff endcap >1.7                  0.7441       0.7466      -0.0025
dup rate (pt sums)               0.0609       0.0499      +0.0110
dup rate (pt>0.9)                0.0615       0.0514      +0.0101
dup rate barrel                  0.0358       0.0097      +0.0261
dup rate transition              0.0411       0.0131      +0.0280
dup rate endcap                  0.0818       0.0849      -0.0031
fake rate (pt sums)              0.0545       0.0452      +0.0093
fake rate (pt>0.9)               0.0560       0.0454      +0.0106
fake rate barrel                 0.0678       0.0436      +0.0241
fake rate transition             0.0690       0.0454      +0.0236
fake rate endcap                 0.0456       0.0463      -0.0007
mean nhitOT                       6.446        6.519       -0.073
mean nhitOT barrel                9.832       10.150       -0.317
mean nhitOT transition            9.845       10.009       -0.164
mean nhitOT endcap                3.558        3.557       +0.002
n TC (fr denom)                 2032598      1998494       +34104
n sim (ef denom)                 204388       204388           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a13_ref/r_W_X1R45.json
