A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a14_ref/r_XB3_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3273       0.3281      -0.0008
eff overall (pt>0.9)             0.8085       0.8099      -0.0014
eff vxy [0,1)                    0.8413       0.8430      -0.0016
eff vxy [1,5)                    0.7939       0.7719      +0.0219
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8359       0.8307      +0.0052
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9230       0.9256      -0.0026
eff transition 1.1-1.7           0.8821       0.8819      +0.0003
eff endcap >1.7                  0.7450       0.7460      -0.0010
dup rate (pt sums)               0.0591       0.0503      +0.0088
dup rate (pt>0.9)                0.0599       0.0518      +0.0081
dup rate barrel                  0.0352       0.0099      +0.0253
dup rate transition              0.0342       0.0126      +0.0215
dup rate endcap                  0.0811       0.0856      -0.0045
fake rate (pt sums)              0.0540       0.0447      +0.0092
fake rate (pt>0.9)               0.0556       0.0448      +0.0108
fake rate barrel                 0.0671       0.0425      +0.0247
fake rate transition             0.0690       0.0445      +0.0245
fake rate endcap                 0.0453       0.0460      -0.0008
mean nhitOT                       6.454        6.519       -0.065
mean nhitOT barrel                9.866       10.148       -0.282
mean nhitOT transition            9.879       10.015       -0.136
mean nhitOT endcap                3.560        3.562       -0.003
n TC (fr denom)                  617635       608190        +9445
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a14_ref/r_XB3.json
