A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a15_ref/r_W_XC4_T45_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/fin_ref/fin_base977_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3273       0.3277      -0.0004
eff overall (pt>0.9)             0.8095       0.8099      -0.0004
eff vxy [0,1)                    0.8418       0.8429      -0.0010
eff vxy [1,5)                    0.8020       0.7772      +0.0248
eff vxy [5,10)                   0.7216       0.6442      +0.0774
eff vxy [10,30)                  0.7147       0.6257      +0.0891
eff dxy [0,1)                    0.8356       0.8296      +0.0060
eff dxy [1,5)                    0.5832       0.5104      +0.0728
eff dxy [5,10)                   0.2452       0.2291      +0.0161
eff dxy [10,30)                  0.0315       0.0540      -0.0225
eff barrel |eta|<1.1             0.9252       0.9243      +0.0009
eff transition 1.1-1.7           0.8805       0.8800      +0.0005
eff endcap >1.7                  0.7445       0.7466      -0.0021
dup rate (pt sums)               0.0599       0.0499      +0.0101
dup rate (pt>0.9)                0.0610       0.0514      +0.0096
dup rate barrel                  0.0496       0.0097      +0.0399
dup rate transition              0.0365       0.0131      +0.0234
dup rate endcap                  0.0747       0.0849      -0.0102
fake rate (pt sums)              0.0546       0.0452      +0.0094
fake rate (pt>0.9)               0.0561       0.0454      +0.0107
fake rate barrel                 0.0673       0.0436      +0.0236
fake rate transition             0.0692       0.0454      +0.0238
fake rate endcap                 0.0459       0.0463      -0.0004
mean nhitOT                       6.444        6.519       -0.075
mean nhitOT barrel                9.757       10.150       -0.392
mean nhitOT transition            9.863       10.009       -0.146
mean nhitOT endcap                3.569        3.557       +0.013
n TC (fr denom)                 2033322      1998494       +34828
n sim (ef denom)                 204388       204388           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a15_ref/r_W_XC4_T45.json
