A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a15_ref/r_X4_T50_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/rebase_ref/rb_base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3283       0.3281      +0.0002
eff overall (pt>0.9)             0.8111       0.8099      +0.0012
eff vxy [0,1)                    0.8441       0.8430      +0.0011
eff vxy [1,5)                    0.7953       0.7719      +0.0234
eff vxy [5,10)                   0.7336       0.6543      +0.0793
eff vxy [10,30)                  0.7414       0.6645      +0.0769
eff dxy [0,1)                    0.8384       0.8307      +0.0077
eff dxy [1,5)                    0.6165       0.5541      +0.0624
eff dxy [5,10)                   0.2016       0.2097      -0.0081
eff dxy [10,30)                  0.0307       0.0567      -0.0260
eff barrel |eta|<1.1             0.9285       0.9256      +0.0030
eff transition 1.1-1.7           0.8834       0.8819      +0.0015
eff endcap >1.7                  0.7455       0.7460      -0.0004
dup rate (pt sums)               0.0677       0.0503      +0.0174
dup rate (pt>0.9)                0.0683       0.0518      +0.0165
dup rate barrel                  0.0605       0.0099      +0.0507
dup rate transition              0.0501       0.0126      +0.0374
dup rate endcap                  0.0781       0.0856      -0.0075
fake rate (pt sums)              0.0537       0.0447      +0.0090
fake rate (pt>0.9)               0.0553       0.0448      +0.0106
fake rate barrel                 0.0661       0.0425      +0.0236
fake rate transition             0.0684       0.0445      +0.0239
fake rate endcap                 0.0454       0.0460      -0.0007
mean nhitOT                       6.415        6.519       -0.104
mean nhitOT barrel                9.693       10.148       -0.455
mean nhitOT transition            9.784       10.015       -0.231
mean nhitOT endcap                3.565        3.562       +0.002
n TC (fr denom)                  621384       608190       +13194
n sim (ef denom)                  62555        62555           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/a15_ref/r_X4_T50.json
