A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/audit_ref/t_SMOKE1_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3425       0.3264      +0.0160
eff overall (pt>0.9)             0.7829       0.8136      -0.0306
eff vxy [0,1)                    0.8190       0.8473      -0.0284
eff vxy [1,5)                    0.7955       0.7731      +0.0223
eff vxy [5,10)                   0.6667       0.6530      +0.0137
eff vxy [10,30)                  0.6429       0.6291      +0.0138
eff dxy [0,1)                    0.8160       0.8342      -0.0182
eff dxy [1,5)                    0.3684       0.4989      -0.1305
eff dxy [5,10)                   0.0000       0.2281      -0.2281
eff dxy [10,30)                  0.0000       0.0470      -0.0470
eff barrel |eta|<1.1             0.9424       0.9242      +0.0183
eff transition 1.1-1.7           0.8750       0.8826      -0.0076
eff endcap >1.7                  0.7030       0.7556      -0.0526
dup rate (pt sums)               0.9158       0.0499      +0.8658
dup rate (pt>0.9)                0.9120       0.0513      +0.8607
dup rate barrel                  0.2441       0.0097      +0.2344
dup rate transition              0.4093       0.0130      +0.3963
dup rate endcap                  0.9612       0.0846      +0.8766
fake rate (pt sums)              0.0214       0.0451      -0.0237
fake rate (pt>0.9)               0.0220       0.0455      -0.0235
fake rate barrel                 0.0334       0.0437      -0.0103
fake rate transition             0.0554       0.0459      +0.0096
fake rate endcap                 0.0204       0.0463      -0.0259
mean nhitOT                       0.857        6.514       -5.657
mean nhitOT barrel                8.612       10.151       -1.539
mean nhitOT transition            6.808       10.010       -3.202
mean nhitOT endcap                0.282        3.559       -3.278
n TC (fr denom)                   56926       610581      -553655
n sim (ef denom)                   1019        63603       -62584
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/audit_ref/t_SMOKE1.json
