A/B compare (Root__TC set): proto=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/audit_ref/t_ZP8U_hists.root base=/mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/prototype/base300_hists.root
metric                            proto         base        delta
-----------------------------------------------------------------
eff overall (pt sums)            0.3313       0.3264      +0.0048
eff overall (pt>0.9)             0.8250       0.8136      +0.0115
eff vxy [0,1)                    0.8582       0.8473      +0.0109
eff vxy [1,5)                    0.8269       0.7731      +0.0537
eff vxy [5,10)                   0.7271       0.6530      +0.0741
eff vxy [10,30)                  0.7173       0.6291      +0.0882
eff dxy [0,1)                    0.8526       0.8342      +0.0184
eff dxy [1,5)                    0.5601       0.4989      +0.0612
eff dxy [5,10)                   0.2491       0.2281      +0.0211
eff dxy [10,30)                  0.0256       0.0470      -0.0214
eff barrel |eta|<1.1             0.9335       0.9242      +0.0093
eff transition 1.1-1.7           0.8994       0.8826      +0.0168
eff endcap >1.7                  0.7679       0.7556      +0.0123
dup rate (pt sums)               0.9134       0.0499      +0.8635
dup rate (pt>0.9)                0.9119       0.0513      +0.8606
dup rate barrel                  0.2552       0.0097      +0.2455
dup rate transition              0.3748       0.0130      +0.3617
dup rate endcap                  0.9591       0.0846      +0.8746
fake rate (pt sums)              0.0253       0.0451      -0.0198
fake rate (pt>0.9)               0.0254       0.0455      -0.0201
fake rate barrel                 0.0475       0.0437      +0.0038
fake rate transition             0.0495       0.0459      +0.0037
fake rate endcap                 0.0236       0.0463      -0.0228
mean nhitOT                       0.820        6.514       -5.693
mean nhitOT barrel                8.517       10.151       -1.634
mean nhitOT transition            7.264       10.010       -2.746
mean nhitOT endcap                0.263        3.559       -3.297
n TC (fr denom)                 4626808       610581     +4016227
n sim (ef denom)                  63603        63603           +0
wrote /mnt/data1/gsn27/here/CMSSW_17_0_0_pre2/src/RecoTracker/LSTCore/standalone/audit_ref/t_ZP8U.json
